chunk,dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.0,requested,297,3604,0,0.0,106.5088882446289,78.16568756103516,0.5999988317489624,0.0056333326719355,1000,100,0.5,1.0,84847,0.2856801346801347,84.847,62.56994957317442,199,37896,0.1275959595959596,closed,6527,3.8929063888463302,0.818883549422692,0.0366771940850455,0.0291117592253385,0.0056333327665925,0.2722777525583903,0.7175819986832869,0.312705143100599,0.0,1.7674418613592404
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,0,12345,0.5,requested,297,3604,1802,0.5,51.408348083496094,78.16568756103516,0.5999992489814758,0.0116712561746877,1000,100,0.5,1.0,87768,0.2955151515151515,87.768,60.25385218143901,213,39814,0.134053872053872,closed,6527,3.8929063888463302,0.818883549422692,0.0759885746070285,0.060314349143814,0.0116712562739849,0.5641107062498728,0.717581997889757,0.3127051444225908,0.0,1.7674418656438886
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.0,requested,297,3604,0,0.0,106.5088882446289,78.16568756103516,0.7999996542930603,0.0075111102292473,1000,100,0.5,1.0,86473,0.2911548821548821,86.473,61.7543753419454,205,38670,0.1302020202020202,closed,6527,3.8929063888463302,0.818883549422692,0.0489029231087245,0.0388156771066461,0.0075111100450158,0.3630369901657104,0.717581997325698,0.3127051428218198,0.0,1.7674418557709644
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,0,12345,0.5,requested,297,3604,1802,0.5,51.408348083496094,78.16568756103516,0.7999993562698364,0.0155616748995836,1000,100,0.5,1.0,92132,0.3102087542087542,92.132,57.52299949995194,221,41447,0.1395521885521885,closed,6527,3.8929063888463302,0.818883549422692,0.1013180976533755,0.0804191306816261,0.015561674721539,0.7521476050217947,0.7175819976915934,0.3127051436908957,0.0,1.7674418698516416
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,0,12345,0.0,requested,297,3604,0,0.0,106.5088882446289,78.16568756103516,0.9500000476837158,0.0089194433972312,1000,100,0.5,1.0,88336,0.2974276094276094,88.336,60.88867328604339,209,39572,0.1332390572390572,closed,6527,3.8929063888463302,0.818883549422692,0.0580722195699026,0.0460936154560458,0.0089194430038332,0.4311064183712005,0.7175819976717622,0.3127051455794785,0.0,1.7674418621592465
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,0,12345,0.5,requested,297,3604,1802,0.5,51.408348083496094,78.16568756103516,0.9500002861022948,0.0184794889432555,1000,100,0.5,1.0,95934,0.323010101010101,95.934,55.595273886172,230,42590,0.1434006734006734,closed,6527,3.8929063888463302,0.818883549422692,0.1203152409432837,0.0954977176659892,0.0184794887900352,0.8931752940018972,0.7175819976399652,0.3127051443336234,0.0,1.767441867006724
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,0,12345,0.0,requested,297,3604,0,0.0,106.5088882446289,78.16568756103516,1.049998760223389,0.0098583321758872,1000,100,0.5,1.0,89685,0.3019696969696969,89.685,60.29164832593199,214,40029,0.1347777777777777,closed,6527,3.8929063888463302,0.818883549422692,0.0641850907626843,0.0509455794961768,0.0098583325743675,0.4764860769112904,0.7175819991091736,0.3127051450570485,0.0,1.7674418563776917
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,1.05,0,12345,0.5,requested,297,3604,1802,0.5,51.408348083496094,78.16568756103516,1.0500001907348633,0.0204246983057035,1000,100,0.5,1.0,98597,0.331976430976431,98.597,54.47873459913991,237,43317,0.1458484848484848,closed,6527,3.8929063888463302,0.818883549422692,0.1329799997279403,0.1055501065282191,0.020424697548151,0.9871937235196432,0.7175819985439033,0.3127051454697696,0.0,1.7674418614515492
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,1,112345,0.0,requested,297,3604,0,0.0,106.5088882446289,76.00120544433594,0.5999988317489624,0.0056333326719355,1000,100,0.5,1.0,76346,0.257057239057239,76.346,60.35298473784678,183,35427,0.1192828282828282,closed,6527,3.8929063888463302,0.818883549422692,0.0366771940850455,0.0291117592253385,0.0056333327665925,0.2722777525583903,0.7175819986832869,0.312705143100599,0.0,1.7674418613592404
chunk_0,new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,1,112345,0.5,requested,297,3604,1802,0.5,57.669960021972656,76.00120544433594,0.6000007390975952,0.0104040301011375,1000,100,0.5,1.0,81975,0.276010101010101,81.975,57.614440887669815,204,37752,0.1271111111111111,closed,6527,3.8929063888463302,0.818883549422692,0.0677379863221295,0.0537656164769472,0.0104040298610925,0.5028614501158396,0.7175819975121637,0.3127051448802581,0.0,1.7674418575603388
