dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,activation_steps,activation_washout,activation_threshold_abs_state,activation_leak,active_state_count,active_state_fraction,active_neurons_per_step_mean,active_neurons_per_step_std,neurons_active_at_least_once,activation_onset_count,activation_onset_rate,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,37,3712345,0.2,requested,297,3604,720,0.1997780244173141,86.30720520019531,68.41920471191406,0.6000005602836609,0.006951910893282432,1000,100,0.5,1.0,73092,0.2461010101010101,73.092,55.65075509409142,188,33648,0.11329292929292929,closed,6527,3.8929063888463307,0.818883549422692,0.045262120028196344,0.035925865444873306,0.00695191090926528,0.3360090305407842,0.7175819997112407,0.31270514567115715,0.0,1.7674418499593665
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,37,3712345,0.4,requested,297,3604,1441,0.3998335183129856,51.66638946533203,68.41920471191406,0.5999994874000549,0.011612965531539569,1000,100,0.5,1.0,77641,0.26141750841750844,77.641,53.816059752524495,205,36356,0.12241077441077441,closed,6527,3.8929063888463307,0.818883549422692,0.07560905938994507,0.06001311666056639,0.011612965725362301,0.561293343702952,0.7175819978303939,0.3127051449997907,0.0,1.7674418565615404
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,37,3712345,0.6,requested,297,3604,2162,0.5998890122086571,46.48406982421875,68.41920471191406,0.599999725818634,0.01290764776554468,1000,100,0.5,1.0,79490,0.2676430976430976,79.49,54.261166354716096,208,36933,0.12435353535353535,closed,6527,3.8929063888463307,0.818883549422692,0.08403840351116475,0.06670373287830464,0.012907647527754307,0.6238696376482645,0.7175819987758159,0.3127051426296133,0.0,1.7674418546117272
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,37,3712345,0.8,requested,297,3604,2883,0.7999445061043285,75.4742431640625,68.41920471191406,0.5999997854232788,0.007949731919745748,1000,100,0.5,1.0,73929,0.24891919191919193,73.929,55.55959708122286,183,34255,0.11533670033670033,closed,6527,3.8929063888463307,0.818883549422692,0.05175868041214466,0.041082374987254394,0.00794973224401474,0.3842370609442393,0.717581998849907,0.3127051448504105,0.0,1.767441855396368
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.6,37,3712345,1.0,requested,297,3604,3604,1.0,106.50869750976562,68.41920471191406,0.6000009775161743,0.005633342760059448,1000,100,0.5,1.0,72239,0.24322895622895624,72.239,56.32490011862758,174,33113,0.11149158249158249,closed,6527,3.8929063888463307,0.818883549422692,0.03667725737519695,0.029111809470353172,0.005633342545479536,0.27227821946144104,0.7175819989912474,0.3127051452968112,0.0,1.7674418671710355
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,37,3712345,0.2,requested,297,3604,720,0.1997780244173141,86.30720520019531,68.41920471191406,0.7999997735023499,0.009269214524376576,1000,100,0.5,1.0,75557,0.2544006734006734,75.557,55.20094106892468,199,35110,0.11821548821548822,closed,6527,3.8929063888463307,0.818883549422692,0.06034949101378008,0.04790115213058584,0.009269214235246181,0.44801202913125354,0.7175819984260178,0.31270514519740283,0.0,1.7674418686161284
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,37,3712345,0.4,requested,297,3604,1441,0.3998335183129856,51.66638946533203,68.41920471191406,0.7999988198280334,0.01548395404205276,1000,100,0.5,1.0,84289,0.2838013468013468,84.289,51.81735729963,219,39298,0.1323164983164983,closed,6527,3.8929063888463307,0.818883549422692,0.10081207802233637,0.08001748757409732,0.01548395399004221,0.7483910918235779,0.7175819983388904,0.31270514261883864,0.0,1.7674418607904143
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,37,3712345,0.6,requested,297,3604,2162,0.5998890122086571,46.48406982421875,68.41920471191406,0.8000010848045349,0.01721019702072624,1000,100,0.5,1.0,86030,0.2896632996632997,86.03,52.33953120277757,216,40034,0.1347946127946128,closed,6527,3.8929063888463307,0.818883549422692,0.11205120457688364,0.08893831095929003,0.01721019670367241,0.8318261802196503,0.7175819993651097,0.31270514401007915,0.0,1.7674418546117268
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,37,3712345,0.8,requested,297,3604,2883,0.7999445061043285,75.4742431640625,68.41920471191406,0.8000004887580872,0.010599642559660997,1000,100,0.5,1.0,76417,0.2572962962962963,76.417,54.695710359512944,204,35659,0.12006397306397307,closed,6527,3.8929063888463307,0.818883549422692,0.06901157376363605,0.054776499891053564,0.010599642992019653,0.5123160779476166,0.7175819982924281,0.3127051443963384,0.0,1.7674418604651163
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.8,37,3712345,1.0,requested,297,3604,3604,1.0,106.50869750976562,68.41920471191406,0.8000006675720215,0.007511123680079265,1000,100,0.5,1.0,73267,0.24669023569023568,73.267,56.19978760749125,181,33745,0.11361952861952862,closed,6527,3.8929063888463307,0.818883549422692,0.04890301016279308,0.038815746485247604,0.007511123549193144,0.3630376358826955,0.7175819945321339,0.3127051448164271,0.0,1.767441862812188
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,37,3712345,0.2,requested,297,3604,720,0.1997780244173141,86.30720520019531,68.41920471191406,0.9500005841255188,0.011007192247697185,1000,100,0.5,1.0,77936,0.26241077441077443,77.936,54.78420587371157,204,36335,0.12234006734006735,closed,6527,3.8929063888463307,0.818883549422692,0.07166502464530405,0.056882621047545635,0.01100719254463911,0.5320142904917399,0.7175819980392629,0.31270514475997685,0.0,1.7674418654987238
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,37,3712345,0.4,requested,297,3604,1441,0.3998335183129856,51.66638946533203,68.41920471191406,0.9499985575675964,0.01838719542493765,1000,100,0.5,1.0,90086,0.3033198653198653,90.086,50.12161989382207,226,41422,0.13946801346801346,closed,6527,3.8929063888463307,0.818883549422692,0.11971433860907656,0.0950207638569975,0.018387194722890854,0.8887144227822622,0.7175819993220469,0.31270514421355217,0.0,1.7674418681352995
new_cel_sign_matched,sign_test_og_cel,random_unknown_sign_matched,spectral_radius,0.95,37,3712345,0.6,requested,297,3604,2162,0.5998890122086571,46.48406982421875,68.41920471191406,0.9500008225440979,0.02043710896211241,1000,100,0.5,1.0,91325,0.3074915824915825,91.325,50.41842314464419,228,42007,0.14143771043771045,closed,6527,3.8929063888463307,0.818883549422692,0.13306080343000187,0.10561424231957829,0.020437108352780342,0.9877935846646627,0.7175819975598331,0.3127051433980123,0.0,1.7674418530713618
