dataset,job,unknown_sign_policy,normalization,rho_target,repeat_id,seed,sign_frac,sign_frac_source,n_nodes,n_edges,negative_edges,negative_edge_fraction,raw_rho,ref_rho,post_rho,scale_factor,census_003,census_012,census_102,census_021D,census_021U,census_021C,census_111D,census_111U,census_030T,census_030C,census_201,census_120D,census_120U,census_120C,census_210,census_300,triad_scope,triad_count,triad_edge_count_mean,triad_edge_count_std,triad_avg_abs_w_mean,triad_avg_abs_w_std,triad_avg_abs_w_min,triad_avg_abs_w_max,triad_cv_abs_w_mean,triad_cv_abs_w_std,triad_cv_abs_w_min,triad_cv_abs_w_max
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.6000003218650818,0.007730346903878266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.04113667888227655,0.04672589713517905,0.007730347104370594,0.23191040754318237,0.13599438377673193,0.26344298439241565,0.0,1.7058823466880881
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.6000003218650818,0.007730346903878266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.04283102818301475,0.03515799574709315,0.007730347104370594,0.23191040754318237,0.5259102682147448,0.31091017530102755,0.0,1.7058823466880881
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.6000003218650818,0.007730346903878266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.047027896943260365,0.03217835646302359,0.007730347104370594,0.22418006137013435,0.7041641669200212,0.2998122424431175,0.0,1.7058823466880881
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.6000003218650818,0.005966632978007889,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.03175115730015465,0.036065170121755176,0.005966633092612028,0.17899899184703827,0.13599438334186814,0.263442983680144,0.0,1.7058823515909303
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.6000003218650818,0.005966632978007889,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.03305893305851932,0.027136538344920896,0.005966633092612028,0.17899899184703827,0.5259102664016643,0.3109101758629826,0.0,1.7058823515909303
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.6000003218650818,0.005966632978007889,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.036298267030650894,0.02483671742012647,0.005966633092612028,0.17303235828876495,0.7041641664620958,0.29981224463388967,0.0,1.7058823515909303
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.599999725818634,0.007726056046208266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.04111384388768547,0.046699959844609645,0.007726056035608053,0.23178167641162872,0.13599438351332913,0.2634429841731293,0.0,1.7058823477273755
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.599999725818634,0.007726056046208266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.04280725264868493,0.035138479741205896,0.007726056035608053,0.23178167641162872,0.5259102672429641,0.31091017625670875,0.0,1.7058823477273755
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.599999725818634,0.007726056046208266,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.0470017917630676,0.03216049446975105,0.007726056035608053,0.22405562177300453,0.7041641674772451,0.2998122447938715,0.0,1.7058823477273755
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.6000008583068848,0.011563707199555821,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.06153572423833524,0.06989655077344366,0.011563707143068314,0.34691122174263,0.13599438375329573,0.26344298447627235,0.0,1.7058823585147687
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.6000008583068848,0.011563707199555821,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.06407027528309439,0.05259230509894782,0.011563707143068314,0.34691122174263,0.5259102681579606,0.31091017648299457,0.0,1.7058823585147687
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.6000008583068848,0.011563707199555821,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.07034830678494843,0.0481351087143117,0.011563707143068314,0.3353475108742714,0.7041641690627628,0.2998122456647595,0.0,1.7058823585147687
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.599999189376831,0.01494308075063124,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.0795189029524406,0.09032309436717813,0.014943080954253674,0.44829243421554565,0.1359943836527364,0.263442984380563,0.0,1.705882356176021
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.599999189376831,0.01494308075063124,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.08279415033607751,0.06796186200008893,0.014943080954253674,0.44829243421554565,0.5259102679125048,0.3109101766065756,0.0,1.705882356176021
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.6,requested,297,3604,2162,0.5998890122086571,40.15236282348633,65.18519592285156,0.599999189376831,0.01494308075063124,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.09090687150277753,0.06220209601638503,0.014943080954253674,0.4333493486046791,0.7041641687160629,0.2998122454977713,0.0,1.705882356176021
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.60000079870224,0.008611739785363528,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.0458269676856186,0.05205345339017809,0.008611739613115788,0.2583521902561188,0.13599438372400885,0.2634429841722062,0.0,1.705882354812209
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.60000079870224,0.008611739785363528,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.04771450197592186,0.03916661228515098,0.008611739613115788,0.2583521902561188,0.525910267863646,0.3109101754167425,0.0,1.705882354812209
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,0.8,requested,297,3604,2883,0.7999445061043285,69.67233276367188,65.18519592285156,0.60000079870224,0.008611739785363528,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.05238988599623678,0.03584724290587286,0.008611739613115788,0.24974045157432556,0.7041641671467335,0.29981224357688263,0.0,1.705882354812209
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.600000262260437,0.005966626640404664,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.031751122966745975,0.036065131127045714,0.005966626573354006,0.17899879813194275,0.1359943837711517,0.263442984360483,0.0,1.705882354291424
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.600000262260437,0.005966626640404664,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.0330588973131959,0.027136508999575273,0.005966626573354006,0.17899879813194275,0.525910268177009,0.31091017575268115,0.0,1.705882354291424
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.6,32,3212345,1.0,requested,297,3604,3604,1.0,100.55933380126953,65.18519592285156,0.600000262260437,0.005966626640404664,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.036298227791949016,0.02483669057663375,0.005966626573354006,0.17303217202425003,0.7041641678245837,0.2998122438496864,0.0,1.705882354291424
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.7999999523162842,0.010307129205171022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.054848904725537516,0.062301195931875,0.010307129472494125,0.30921387672424316,0.1359943834425446,0.26344298378536507,0.0,1.705882346688088
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.7999999523162842,0.010307129205171022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.05710803712131781,0.04687732752667212,0.010307129472494125,0.30921387672424316,0.5259102668281452,0.31091017564982015,0.0,1.705882346688088
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.22058823529411764,empirical,297,3604,795,0.22058823529411764,77.61618041992188,65.18519592285156,0.7999999523162842,0.010307129205171022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.06270386206203883,0.042904475126064795,0.010307129472494125,0.29890675097703934,0.7041641661569463,0.29981224383201055,0.0,1.705882346688088
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.8000005483627319,0.007955510637343852,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.04233487848645138,0.048086895454075615,0.007955511100590229,0.23866532742977142,0.13599438374892914,0.263442984381767,0.0,1.7058823468650686
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.8000005483627319,0.007955510637343852,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.04407857956044776,0.036182052534048485,0.007955511100590229,0.23866532742977142,0.5259102680944175,0.3109101753086743,0.0,1.7058823468650686
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.0,requested,297,3604,0,0.0,100.5592269897461,65.18519592285156,0.8000005483627319,0.007955510637343852,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.048397691703814014,0.03311562447505209,0.007955511100590229,0.23070981726050377,0.7041641668497377,0.29981224257050276,0.0,1.7058823468650686
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.8000003099441528,0.010301408061611022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.05481846042311819,0.06226661517625131,0.010301408357918262,0.3090422451496124,0.1359943836566192,0.26344298410770733,0.0,1.7058823482487557
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.8000003099441528,0.010301408061611022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.05707633885799363,0.046851307883262854,0.010301408357918262,0.3090422451496124,0.5259102677250114,0.3109101754225529,0.0,1.7058823482487557
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.2,requested,297,3604,720,0.1997780244173141,77.65928649902344,65.18519592285156,0.8000003099441528,0.010301408061611022,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,closed,6527,3.8929063888463307,0.818883549422692,0.06266905779553981,0.04288066067080464,0.010301408357918262,0.29874084144830704,0.7041641666407735,0.2998122430863465,0.0,1.7058823482487557
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.8000013828277588,0.01541827626607443,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,any_edge,793451,1.3399441175321476,0.583206722736065,0.08204763207418368,0.0931954003486486,0.015418276190757751,0.46254828572273254,0.13599438363654737,0.26344298420563783,0.0,1.7058823529411764
new_cel_4to1,sign_test_og_cel,random_unknown_4to1,spectral_radius,0.8,32,3212345,0.4,requested,297,3604,1441,0.3998335183129856,51.886474609375,65.18519592285156,0.8000013828277588,0.01541827626607443,3528889,559407,169082,9402,11551,16683,9402,8866,2144,158,2531,996,1255,644,1057,273,weak_connected,64962,2.549321141590468,0.7501222435163757,0.08542703345474022,0.07012307293979253,0.015418276190757751,0.46254828572273254,0.5259102677229485,0.31091017621111094,0.0,1.7058823529411764
