mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
shuffle,120,0.6,0.6,0.1,5.517882823944092,5.790625154972076,1.7832311391830444,1.8429713249206543,chunk_12
shuffle,120,0.6,0.6,0.5,3.6087496280670166,5.010247588157654,2.1956093311309814,2.969709873199463,chunk_12
shuffle,120,0.6,0.6,1.0,2.330444812774658,3.8059985041618347,2.5941386222839355,4.338761806488037,chunk_12
shuffle,120,0.6,0.6,1.5,2.533132553100586,3.689503014087677,3.3729407787323,6.523647308349609,chunk_12
shuffle,120,0.6,0.8,0.1,5.30775260925293,6.015229761600494,1.8582615852355957,1.9295250177383423,chunk_12
shuffle,120,0.6,0.8,0.5,5.021781921386719,7.3160054087638855,2.344250202178955,3.1426098346710205,chunk_12
shuffle,120,0.6,0.8,1.0,3.538790464401245,5.046096086502075,2.8171653747558594,4.858714580535889,chunk_12
shuffle,120,0.6,0.8,1.5,2.797678232192993,3.684927761554718,3.4683408737182617,6.723897457122803,chunk_12
shuffle,120,0.6,1.0,0.1,7.442449569702148,7.944477617740631,2.3833131790161133,2.4795820713043213,chunk_12
shuffle,120,0.6,1.0,0.5,3.7469282150268555,5.551973760128021,2.628053665161133,3.73022723197937,chunk_12
shuffle,120,0.6,1.0,1.0,2.9837207794189453,4.7683058977127075,3.6240999698638916,6.693702220916748,chunk_12
shuffle,120,0.6,1.0,1.5,2.745371103286743,4.457252323627472,3.4702773094177246,7.163039207458496,chunk_12
shuffle,120,0.8,0.6,0.1,6.082171440124512,6.759989500045776,2.8532755374908447,3.0072731971740723,chunk_12
shuffle,120,0.8,0.6,0.5,4.338829517364502,5.9696455001831055,2.8396923542022705,3.929901599884033,chunk_12
shuffle,120,0.8,0.6,1.0,3.150186538696289,4.587286710739136,3.01448392868042,5.090968132019043,chunk_12
shuffle,120,0.8,0.6,1.5,1.8770248889923096,2.651467740535736,3.414079189300537,6.792621612548828,chunk_12
shuffle,120,0.8,0.8,0.1,6.623591423034668,7.637370586395264,2.697495460510254,2.839888095855713,chunk_12
shuffle,120,0.8,0.8,0.5,4.559670925140381,6.972149074077606,3.316608190536499,4.931792736053467,chunk_12
shuffle,120,0.8,0.8,1.0,2.8862104415893555,3.084303081035614,4.52687406539917,8.480268478393555,chunk_12
shuffle,120,0.8,0.8,1.5,2.087127208709717,3.0268229246139526,4.00822114944458,8.368566513061523,chunk_12
shuffle,120,0.8,1.0,0.1,7.9452362060546875,9.048824489116669,3.3051810264587402,3.4616565704345703,chunk_12
shuffle,120,0.8,1.0,0.5,5.853185653686523,7.844127774238586,3.898024320602417,5.715721607208252,chunk_12
shuffle,120,0.8,1.0,1.0,4.079318523406982,5.699201464653015,4.157129287719727,7.941406726837158,chunk_12
shuffle,120,0.8,1.0,1.5,3.465426206588745,4.577304661273956,4.9973907470703125,11.016164779663086,chunk_12
shuffle,120,0.95,0.6,0.1,7.1005401611328125,8.110675990581512,2.869817018508911,2.9822494983673096,chunk_12
shuffle,120,0.95,0.6,0.5,3.2349131107330322,4.2183621525764465,4.387152671813965,6.399803638458252,chunk_12
shuffle,120,0.95,0.6,1.0,2.158777952194214,2.5064817070961,4.425966739654541,8.283519744873047,chunk_12
shuffle,120,0.95,0.6,1.5,1.9365990161895752,2.7406575083732605,4.150532245635986,8.735374450683594,chunk_12
shuffle,120,0.95,0.8,0.1,7.485735893249512,8.761518239974976,3.248516798019409,3.494678020477295,chunk_12
shuffle,120,0.95,0.8,0.5,5.96384334564209,8.231928944587708,3.8212509155273438,5.696869850158691,chunk_12
shuffle,120,0.95,0.8,1.0,3.428738594055176,3.433588922023773,5.043181896209717,10.328983306884766,chunk_12
shuffle,120,0.95,0.8,1.5,2.351712703704834,4.0976602435112,5.729315757751465,12.499981880187988,chunk_12
shuffle,120,0.95,1.0,0.1,9.460444450378418,11.266940951347351,3.7568540573120117,3.9841485023498535,chunk_12
shuffle,120,0.95,1.0,0.5,5.279069900512695,7.665763556957245,5.118121147155762,7.956971645355225,chunk_12
shuffle,120,0.95,1.0,1.0,4.548293590545654,6.175522863864899,7.033118724822998,14.847792625427246,chunk_12
shuffle,120,0.95,1.0,1.5,1.986846685409546,2.9632532000541687,6.4615278244018555,14.927989959716797,chunk_12
shuffle,120,1.05,0.6,0.1,4.3042073249816895,5.3877328634262085,3.0417776107788086,3.40324330329895,chunk_12
shuffle,120,1.05,0.6,0.5,4.395392894744873,7.1558772921562195,4.894464492797852,7.332854747772217,chunk_12
