mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,mean
ws_p0.1+randN,0,0.6,0.6,0.1,7.861861228942871,9.248806416988373,2.699547529220581,2.838623046875,chunk_0,-5.74696168769151e-05
ws_p0.1+randN,0,0.6,0.6,0.5,5.904360294342041,8.426631808280945,3.489834785461426,5.213228225708008,chunk_0,4.8925328883342445e-05
ws_p0.1+randN,0,0.6,0.6,1.0,3.1536307334899902,3.3844024538993835,4.907336711883545,9.662287712097168,chunk_0,1.7398504496668465e-05
ws_p0.1+randN,0,0.6,0.6,1.5,1.4787403345108032,2.3479586839675903,5.644876480102539,12.605076789855955,chunk_0,9.442678128834814e-05
ws_p0.1+randN,0,0.6,0.8,0.1,7.824325084686279,8.869883120059967,2.6916251182556152,2.8244614601135254,chunk_0,5.78225535718957e-06
ws_p0.1+randN,0,0.6,0.8,0.5,4.417148113250732,5.321014821529388,4.696852684020996,7.559858322143555,chunk_0,-4.049411472806241e-06
ws_p0.1+randN,0,0.6,0.8,1.0,4.205817222595215,4.6813793778419495,5.467139720916748,11.16411304473877,chunk_0,6.315378414001316e-05
ws_p0.1+randN,0,0.6,0.8,1.5,3.4727840423583984,4.102920770645142,6.564499378204346,16.053239822387695,chunk_0,9.53583003138192e-05
ws_p0.1+randN,0,0.6,1.0,0.1,12.666117668151855,15.77608323097229,4.552971363067627,5.031014442443848,chunk_0,3.421534347580746e-05
ws_p0.1+randN,0,0.6,1.0,0.5,7.916914939880371,9.911670804023744,5.051267623901367,8.070197105407715,chunk_0,0.0001464348315494
ws_p0.1+randN,0,0.6,1.0,1.0,6.379576683044434,8.674246490001678,9.620038986206056,22.38241004943848,chunk_0,-4.778429865837097e-05
ws_p0.1+randN,0,0.6,1.0,1.5,3.560899019241333,3.7745732069015503,6.2171311378479,15.159931182861328,chunk_0,3.9854807255323976e-05
ws_p0.1+randN,0,0.8,0.6,0.1,9.401531219482422,10.576375484466553,3.469517946243286,3.6631734371185294,chunk_0,-0.0001426427334081
ws_p0.1+randN,0,0.8,0.6,0.5,9.25722599029541,13.948745369911194,5.848344326019287,9.486910820007324,chunk_0,-1.6182204490178265e-05
ws_p0.1+randN,0,0.8,0.6,1.0,3.169459104537964,4.516911506652832,8.823555946350098,19.86768341064453,chunk_0,4.633994649339002e-06
ws_p0.1+randN,0,0.8,0.6,1.5,1.5848264694213867,2.001053512096405,7.495309829711914,18.059627532958984,chunk_0,-4.318021353810764e-07
ws_p0.1+randN,0,0.8,0.8,0.1,11.011995315551758,13.054173648357391,4.411747932434082,4.734214782714844,chunk_0,2.247920747322496e-05
ws_p0.1+randN,0,0.8,0.8,0.5,8.768113136291504,13.45207542181015,7.628142356872559,13.558177947998049,chunk_0,2.9304845156730156e-05
ws_p0.1+randN,0,0.8,0.8,1.0,5.768754005432129,7.821764171123505,9.209447860717772,21.054180145263672,chunk_0,0.0001905173121485
ws_p0.1+randN,0,0.8,0.8,1.5,6.677720069885254,10.72979736328125,12.194062232971191,30.81217384338379,chunk_0,-7.119750080164522e-05
ws_p0.1+randN,0,0.8,1.0,0.1,20.199106216430664,24.07486325502396,8.164193153381348,9.362105369567873,chunk_0,0.0002264277136418
ws_p0.1+randN,0,0.8,1.0,0.5,12.632530212402344,18.435931861400604,14.916488647460938,29.367359161376957,chunk_0,-1.1837845704576466e-05
ws_p0.1+randN,0,0.8,1.0,1.0,9.629525184631348,14.4629607796669,20.992868423461918,50.58861923217773,chunk_0,-0.0002220396854681
ws_p0.1+randN,0,0.8,1.0,1.5,7.000788688659668,11.046501696109772,12.325654029846191,33.6414680480957,chunk_0,-5.079456968815066e-05
ws_p0.1+randN,0,0.95,0.6,0.1,17.515666961669922,17.7875874042511,9.085456848144531,10.336925506591797,chunk_0,-0.0001691170618869
ws_p0.1+randN,0,0.95,0.6,0.5,10.78158187866211,16.161845684051514,9.499077796936035,16.218477249145508,chunk_0,-4.738749339594506e-05
ws_p0.1+randN,0,0.95,0.6,1.0,6.595946311950684,10.888468265533447,14.044224739074709,32.057830810546875,chunk_0,0.0001065010583261
ws_p0.1+randN,0,0.95,0.6,1.5,4.949390888214111,8.104699075222015,14.934060096740724,38.11054229736328,chunk_0,-5.067890015197918e-06
ws_p0.1+randN,0,0.95,0.8,0.1,16.61894416809082,19.888580918312076,6.588345050811768,7.415074825286865,chunk_0,6.049022704246454e-05
ws_p0.1+randN,0,0.95,0.8,0.5,11.527745246887209,17.335653603076935,10.448156356811523,18.8984375,chunk_0,-3.681782254716381e-05
