ep,ret,len,avg100_ret,avg100_|delta|,td_mean,td_std,v_grad_norm,actor_grad_norm,feat_norm_mean,z_norm_mean,act_mean,act_std,logstd_mean,logstd_min,logstd_max,entropy_approx,eval_ret
1,20.598816319738035,1000,20.598816319738035,0.26169417355280505,0.0162103999619328,0.36195713825832604,5.343788675366334,11.241757071163763,19.82293273329735,19.796368483543397,-0.11179085820913315,0.4945606291294098,-0.5056065917015076,-0.516148030757904,-0.4950651526451111,1.8266638830063302,nan
2,33.79705697518281,1000,27.197936647460423,0.21012005016023794,0.026312896333434387,0.28328146200945203,3.0933753660381282,6.6875426309265995,19.396358292579652,19.370355438232423,0.3266332745552063,0.5206887722015381,-0.5199576020240784,-0.5323277115821838,-0.5075874924659729,1.7979618623611886,nan
3,34.73001883247206,1000,29.708630709130972,0.17373340935715334,0.026566288383826953,0.1657549588109659,1.8946217264918244,4.266971198552272,19.647257415533065,19.621608400583266,-0.4080769419670105,0.550537109375,-0.5352213978767395,-0.5490708947181702,-0.5213719010353088,1.7674342706558663,nan
4,30.35477225270965,1000,29.870166095025642,0.15034675428664548,0.02450317839159302,0.14577783959649104,1.4884842000727176,3.4280494783288264,19.01565748977661,18.98886868739128,0.41758570075035095,0.5789909362792969,-0.5467817783355713,-0.5642585158348083,-0.529305100440979,1.7443135097382028,nan
5,27.720665549647627,1000,29.440265985950038,0.1333822984781141,0.023029022630269323,0.12747822254936791,1.2063748718068164,2.6098681022466894,19.371741011857985,19.345708192110063,-0.4522731304168701,0.5785952210426331,-0.5507943630218506,-0.5642942786216736,-0.5372943878173828,1.7362883403656442,nan
6,34.25667536937155,1000,30.243000883186955,0.12412869017321344,0.02923291899925668,0.1650669675511499,1.3783728586705455,3.19565041745956,18.84904424357414,18.822200958251955,0.4451107680797577,0.5996923446655273,-0.554047703742981,-0.5635762810707092,-0.5445190668106079,1.7297816589233834,nan
7,32.23560076779158,1000,30.527658009559048,0.11520578196905029,0.02465107083014622,0.12082319901955565,1.096700800708092,2.3831532770651926,19.21017157804966,19.183740102410315,-0.4622074067592621,0.5954921841621399,-0.5595030784606934,-0.5679631233215332,-0.5510429739952087,1.7188709094879586,nan
8,31.833809763953607,1000,30.690926978858364,0.11016652682851957,0.026824026831406736,0.1568398531057758,1.3267610952746334,2.9615790310555408,18.815233343839644,18.78840524816513,0.46313634514808655,0.6068920493125916,-0.5611485242843628,-0.5708728432655334,-0.5514242649078369,1.7155800178406198,nan
9,30.492469689183363,1000,30.66887616889447,0.10596637823154048,0.02577135476670204,0.13212457784258466,1.3239229490254414,2.891602827209789,19.115360108375548,19.088938464641572,-0.4686182141304016,0.6041795611381531,-0.5664489269256592,-0.5718972682952881,-0.561000645160675,1.704979212558027,nan
10,39.45300259135404,1000,31.54728881114043,0.10287645060991676,0.027191166312091203,0.15951294740330094,1.3160771093859047,3.137860049315045,18.76465443444252,18.73768843340874,-0.46837833523750305,0.6138801574707031,-0.5671817064285278,-0.5676114559173584,-0.5667519569396973,1.7035136535522897,nan
11,24.89638438189784,1000,30.942661135754744,0.10001841606594569,0.021652642999746875,0.14965519539723404,1.1996374203326987,2.8084964447201393,19.124660439014434,19.098374356508256,0.4842255711555481,0.6112204790115356,-0.569114625453949,-0.5694550275802612,-0.5687742233276367,1.6996478155014474,nan
12,39.05588093158054,1000,31.61876278540689,0.09846793984358578,0.033488137529509215,0.15251434675722753,1.4078281238906125,3.2349362341957337,18.42019181895256,18.39254590964317,-0.44877734780311584,0.6199092864990234,-0.573983907699585,-0.5787697434425354,-0.5691980123519897,1.6899092510101754,nan
13,29.024545392860166,1000,31.419207601364835,0.09829820342295613,0.027188000282899458,0.19657041969133343,1.6663045125587548,3.8268758137771846,18.867959898233412,18.84117023038864,0.4730576276779175,0.6156082153320312,-0.5719349384307861,-0.5746418237686157,-0.5692280530929565,1.694007189547773,nan
14,27.375163386251064,1000,31.13034730028528,0.09716989173395973,0.02464692535173078,0.21907205812906944,1.2755968962232078,2.922914149103098,18.741766998052597,18.714854199647903,-0.4758235514163971,0.6163083910942078,-0.5754489898681641,-0.5773423314094543,-0.573555588722229,1.6869790866730172,nan
15,24.271666683368387,1000,30.673101925824152,0.09503536472489144,0.02222080709010486,0.12918983341237994,1.0793055861474907,2.558483803366539,19.155783265829086,19.129468706130982,0.48337727785110474,0.6186673045158386,-0.5742921829223633,-0.5761905312538147,-0.5723938941955566,1.6892927005646188,nan
16,20.34862495379421,1000,30.027822115072283,0.09462146979872,0.014527908053200358,0.21099295614230976,1.5283300065373269,3.793378114628817,18.928700815677644,18.902095561981202,0.4698669910430908,0.6144990921020508,-0.5815507769584656,-0.5836896300315857,-0.5794119238853455,1.6747755124924142,nan
17,21.680332513104247,1000,29.536793314956515,0.09487912871804817,0.014567987861053098,0.25409580446664065,1.6312166036966274,4.163182587744824,18.586417109966277,18.559292011260986,0.4739307463169098,0.6208580732345581,-0.582599401473999,-0.5833326578140259,-0.5818660855293274,1.6726782634613473,nan
18,30.186025376641485,1000,29.572861762827902,0.09397997908395417,0.027872267707286222,0.14461677049273292,1.4437997534677196,3.460097136430897,19.063888676881792,19.03735879278183,-0.47743943333625793,0.6208478808403015,-0.5849323272705078,-0.586136519908905,-0.5837280750274658,1.6680124118683297,nan
19,29.427880718648463,1000,29.565231181555298,0.09306299883508976,0.017800525529117792,0.15217853493977632,1.3556318136149481,3.2345607370567735,19.046970170497893,19.020287185192107,-0.4678921103477478,0.6143643856048584,-0.591013491153717,-0.5976693034172058,-0.5843576788902283,1.6558500841019113,nan
20,35.2299398665488,1000,29.848466615804973,0.09407989267314343,0.03611543049795635,0.1869581779618462,1.9459772040196963,4.861648794136767,18.116125958204268,18.087884938955305,0.4614972472190857,0.6317511796951294,-0.5844523906707764,-0.5870499014854431,-0.5818549394607544,1.6689722850677926,nan
21,31.70654194494236,1000,29.936946393382943,0.09471116947980326,0.022219539924801742,0.20104613462832124,1.8076528988720597,4.3660630669746645,18.332327444076537,18.304885409355162,0.4753468930721283,0.6216192841529846,-0.5862687826156616,-0.5956584811210632,-0.5768790245056152,1.665339501178022,nan
22,35.147282592698296,1000,30.173779856988187,0.09429819663465912,0.03238761090373232,0.163420082631205,1.4588307161859166,3.4987199977590313,18.95743230843544,18.930894959688185,-0.48055553436279297,0.6246738433837891,-0.5861207246780396,-0.5954512357711792,-0.5767902731895447,1.6656356170532662,nan
23,35.250818952443716,1000,30.394520687225384,0.0942017399644418,0.03493897690335818,0.14393636985824496,1.4763402319877168,3.5085259547330323,18.32078154850006,18.29331007003784,0.4789693057537079,0.6201241612434387,-0.5886354446411133,-0.5984583497047424,-0.5788124799728394,1.6606061771271188,nan
24,28.96301851881367,1000,30.334874763541563,0.09360070566399227,0.02359719682033512,0.15264127303491057,1.3648927580442092,2.95085466616084,19.152365013599397,19.12606621336937,-0.48136284947395325,0.6135789752006531,-0.5953625440597534,-0.6087300181388855,-0.5819951295852661,1.6471519782898385,nan
25,30.896426944075408,1000,30.357336850762916,0.0936093464253611,0.033204918179814046,0.15862843670487659,1.6164149227160522,4.0212204522754025,18.349682718515396,18.322203387975694,0.47935181856155396,0.6218770742416382,-0.5930534601211548,-0.6053013205528259,-0.5808056592941284,1.6517701461670358,nan
26,26.337074738588214,1000,30.202711384910042,0.09281012006576123,0.021989034978304824,0.14152979597687135,1.3101454353940514,3.195109863950693,19.140504708766937,19.11417824792862,-0.48143526911735535,0.6155971884727478,-0.5926856398582458,-0.6055633425712585,-0.5798079371452332,1.6525057866928536,nan
27,30.91567471280987,1000,30.229117434091517,0.09313362257750904,0.033804878800981646,0.20836086277310248,1.6452905091946164,3.75617328978514,18.237050030946733,18.20928489279747,0.48117968440055847,0.6220371127128601,-0.5910549163818359,-0.6023814678192139,-0.579728364944458,1.6557672336456735,nan
28,36.81416063552025,1000,30.464297548428256,0.09345481942328131,0.026754349275535185,0.222650066219597,1.596979380498346,3.8689607688844805,18.257942851066588,18.23036252999306,0.47841641306877136,0.6173414587974548,-0.6005493402481079,-0.6195248365402222,-0.5815738439559937,1.6367783859131295,nan
29,22.151127185621892,1000,30.177636501434936,0.09345609545782026,0.014366433441787374,0.21812023477042033,1.5544975900326325,4.048706879106104,18.28337087726593,18.255839423656465,0.4801170527935028,0.6175990700721741,-0.6100183725357056,-0.6414214372634888,-0.5786153674125671,1.6178403213379342,nan
30,27.982776940660465,1000,30.104474516075786,0.0930135058867563,0.028463250123696576,0.14708460965956288,1.349419929598999,3.0040883488676755,19.320724794864656,19.29472416639328,-0.48676133155822754,0.6221560835838318,-0.6123020648956299,-0.644151508808136,-0.580452561378479,1.6132729366180856,nan
31,16.473039236427763,1000,29.66475079737746,0.09220093060905749,0.01405173007793128,0.17579220820264618,1.20805025304353,3.0218401083325457,19.77862630367279,19.75308394885063,-0.7112122774124146,0.40424078702926636,-0.6206341981887817,-0.6512047648429871,-0.5900636911392212,1.5966086700317819,nan
