EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
142,0.3943816436661614,0.2614925791183427,0.33727766275405885,0.2617002974157179,1.0000024106767442,1.1089783647667575e-06,1.0000021484163073,9.109062494863628e-07
143,0.39465006192525226,0.2426541360707212,0.3322441101074219,0.235765862062873,1.0000019205941095,9.264356424451058e-07,1.0000022305382623,1.0573378188353924e-06
144,0.38027150366041396,0.23172151805087732,0.3308414313528273,0.2320335072321132,1.000002341800266,9.629888560735334e-07,1.0000022411346436,1.0229943368881015e-06
145,0.4240336232715183,0.27790545066691197,0.34871802859836154,0.2746116873892802,1.000002262327406,1.0640337185710766e-06,1.0000022755728828,7.67195016653467e-07
146,0.3738469852341546,0.25243199283315065,0.3163418663872613,0.2367557726528527,1.000002262327406,1.0185506775460305e-06,1.00000229411655,9.074970619587895e-07
147,0.3990123430887858,0.2715573072286886,0.3345744093259176,0.2563433655155257,1.000002310011122,1.0370495831192165e-06,1.0000024371676974,1.1667457160364548e-06
148,0.3923638529247708,0.24459326317512203,0.32640140718883937,0.2308509420711661,1.00000212987264,1.1365791968445448e-06,1.0000021855036418,9.473626014574948e-07
149,0.4180046810044183,0.29185046322354596,0.34930049313439265,0.27143188249336714,1.0000023232565987,1.0630485137302213e-06,1.0000022146436902,1.060504687761393e-06
150,0.38580295509762236,0.25850686625472585,0.32563540405697294,0.24180658359393453,1.0000022517310247,8.68715107709498e-07,1.000002506044176,1.0025051997528586e-06
151,0.39898914098739624,0.23459839252226647,0.3304360482427809,0.2271365706843552,1.0000021696090697,9.654635038094871e-07,1.0000022994147406,1.2131450478077756e-06
152,0.3703087157673306,0.22937168356548873,0.31611478593614367,0.2285092090872789,1.0000024027294583,1.0010168073674813e-06,1.0000021431181165,1.0587930866000594e-06
153,0.37726215256585016,0.23213204745628985,0.31982571283976235,0.22785791245998896,1.0000024053785537,9.671563172052338e-07,1.0000026120079888,1.0189920841992471e-06
154,0.4072438571188185,0.2689211660083474,0.34430794450971813,0.25359243957425825,1.000002262327406,9.46097666534515e-07,1.000001891454061,9.349147111560866e-07
155,0.40172094768948025,0.2772579179885331,0.3314492225646973,0.2644283950233445,1.0000020292070178,1.0304496251780345e-06,1.000002177556356,9.768199009832245e-07
156,0.3936401579115126,0.24274621133098045,0.31928336487876047,0.24102102886039076,1.0000021722581651,9.594645163366885e-07,1.0000020371543037,7.596955925904132e-07
157,0.40650302833980984,0.27027716557378656,0.33921220037672256,0.25318663019140447,1.0000021033816868,9.120157298091428e-07,1.0000019550323487,1.204681992687131e-06
158,0.39992373254564073,0.2693808153020135,0.34231490029229056,0.2702121678727657,1.0000023338529798,8.604638268752935e-07,1.0000024530622693,9.035001527889566e-07
