dataset,job,normalization,rho_target,sign_frac,triad_scope,n_edges_mean,n_edges_std,n_edges_min,n_edges_max,n_edges_count,negative_edge_fraction_mean,negative_edge_fraction_std,negative_edge_fraction_min,negative_edge_fraction_max,negative_edge_fraction_count,raw_rho_mean,raw_rho_std,raw_rho_min,raw_rho_max,raw_rho_count,ref_rho_mean,ref_rho_std,ref_rho_min,ref_rho_max,ref_rho_count,post_rho_mean,post_rho_std,post_rho_min,post_rho_max,post_rho_count,scale_factor_mean,scale_factor_std,scale_factor_min,scale_factor_max,scale_factor_count,active_state_count_mean,active_state_count_std,active_state_count_min,active_state_count_max,active_state_count_count,active_state_fraction_mean,active_state_fraction_std,active_state_fraction_min,active_state_fraction_max,active_state_fraction_count,active_neurons_per_step_mean_mean,active_neurons_per_step_mean_std,active_neurons_per_step_mean_min,active_neurons_per_step_mean_max,active_neurons_per_step_mean_count,neurons_active_at_least_once_mean,neurons_active_at_least_once_std,neurons_active_at_least_once_min,neurons_active_at_least_once_max,neurons_active_at_least_once_count,activation_onset_count_mean,activation_onset_count_std,activation_onset_count_min,activation_onset_count_max,activation_onset_count_count,activation_onset_rate_mean,activation_onset_rate_std,activation_onset_rate_min,activation_onset_rate_max,activation_onset_rate_count,triad_count_mean,triad_count_std,triad_count_min,triad_count_max,triad_count_count,triad_edge_count_mean_mean,triad_edge_count_mean_std,triad_edge_count_mean_min,triad_edge_count_mean_max,triad_edge_count_mean_count,triad_avg_abs_w_mean_mean,triad_avg_abs_w_mean_std,triad_avg_abs_w_mean_min,triad_avg_abs_w_mean_max,triad_avg_abs_w_mean_count,triad_avg_abs_w_std_mean,triad_avg_abs_w_std_std,triad_avg_abs_w_std_min,triad_avg_abs_w_std_max,triad_avg_abs_w_std_count,triad_avg_abs_w_min_mean,triad_avg_abs_w_min_std,triad_avg_abs_w_min_min,triad_avg_abs_w_min_max,triad_avg_abs_w_min_count,triad_avg_abs_w_max_mean,triad_avg_abs_w_max_std,triad_avg_abs_w_max_min,triad_avg_abs_w_max_max,triad_avg_abs_w_max_count,triad_cv_abs_w_mean_mean,triad_cv_abs_w_mean_std,triad_cv_abs_w_mean_min,triad_cv_abs_w_mean_max,triad_cv_abs_w_mean_count,triad_cv_abs_w_std_mean,triad_cv_abs_w_std_std,triad_cv_abs_w_std_min,triad_cv_abs_w_std_max,triad_cv_abs_w_std_count
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.0,closed,3604.0,0.0,3604,3604,3,0.0,0.0,0.0,0.0,3,100.5592269897461,0.0,100.5592269897461,100.5592269897461,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.6000003218650818,0.0,0.6000003218650818,0.6000003218650818,3,0.0059666329780078,0.0,0.0059666329780078,0.0059666329780078,3,79789.33333333333,2669.3112095320275,76903,82169,3,0.26865095398428723,0.00898757983007415,0.2589326599326599,0.2766632996632996,3,79.78933333333333,2.6693112095320237,76.903,82.169,3,194.0,5.196152422706632,191,200,3,36802.666666666664,1055.4346655920178,35584,37421,3,0.12391470258136923,0.003553652072700388,0.1198114478114478,0.125996632996633,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.0362982670306508,0.0,0.0362982670306508,0.0362982670306508,3,0.0248367174201264,0.0,0.0248367174201264,0.0248367174201264,3,0.005966633092612,0.0,0.005966633092612,0.005966633092612,3,0.17303235828876487,0.0,0.1730323582887649,0.1730323582887649,3,0.7041641664620958,0.0,0.7041641664620958,0.7041641664620958,3,0.2998122446338896,0.0,0.2998122446338896,0.2998122446338896,3
new_cel_4to1,sign_test_og_cel,spectral_radius,0.6,0.5,closed,3604.0,0.0,3604,3604,3,0.5,0.0,0.5,0.5,3,44.88750457763672,3.7409933851607846,40.69631576538086,47.8889045715332,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.6000000635782877,2.408893039261419e-07,0.5999997854232788,0.6000002026557922,3,0.013431315245525167,0.0011626430113635506,0.0125289982171916,0.0147433493355779,3,85794.0,1026.9094409927295,84663,86668,3,0.28886868686868683,0.003457607545430094,0.285060606060606,0.2918114478114478,3,85.794,1.0269094409927357,84.663,86.668,3,211.66666666666666,4.509249752822898,207,216,3,39912.0,635.5776899797538,39514,40645,3,0.13438383838383836,0.0021399922221540598,0.133043771043771,0.1368518518518518,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.08170998044971496,0.007072989591947054,0.0762206936759403,0.089691796719393,3,0.05590921742089133,0.004839621402185717,0.0521532287412148,0.0613706942980249,3,0.013431315310299367,0.001162643188549648,0.0125289978459477,0.0147433495149016,3,0.3895081455508868,0.03371666080947184,0.3633409366011619,0.427557148039341,3,0.7041641679999365,8.585597850454639e-10,0.7041641672088044,0.704164168912907,3,0.2998122454533237,2.017690496343366e-09,0.2998122436923054,0.2998122476548877,3
new_cel_4to1,sign_test_og_cel,spectral_radius,0.8,0.0,closed,3604.0,0.0,3604,3604,3,0.0,0.0,0.0,0.0,3,100.5592269897461,0.0,100.5592269897461,100.5592269897461,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.8000005483627319,0.0,0.8000005483627319,0.8000005483627319,3,0.0079555106373438,0.0,0.0079555106373438,0.0079555106373438,3,81127.33333333333,2782.9865851874556,78245,83799,3,0.27315600448933774,0.009370325202651388,0.2634511784511784,0.2821515151515151,3,81.12733333333334,2.7829865851874556,78.245,83.799,3,201.0,4.358898943540674,198,206,3,37558.0,1034.906275949663,36363,38159,3,0.1264579124579124,0.003484532915655425,0.1224343434343434,0.1284814814814814,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.048397691703814,0.0,0.048397691703814,0.048397691703814,3,0.033115624475052,0.0,0.033115624475052,0.033115624475052,3,0.0079555111005902,0.0,0.0079555111005902,0.0079555111005902,3,0.23070981726050369,0.0,0.2307098172605037,0.2307098172605037,3,0.7041641668497377,0.0,0.7041641668497377,0.7041641668497377,3,0.2998122425705027,0.0,0.2998122425705027,0.2998122425705027,3
new_cel_4to1,sign_test_og_cel,spectral_radius,0.8,0.5,closed,3604.0,0.0,3604,3604,3,0.5,0.0,0.5,0.5,3,44.88750457763672,3.7409933851607846,40.69631576538086,47.8889045715332,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.800000528494517,1.2816153703287583e-06,0.7999992370605469,0.8000018000602722,3,0.017908420327366902,0.0015501906818180791,0.0167053309562555,0.0196577991141039,3,90928.33333333333,468.39869057602516,90435,91367,3,0.30615600448933783,0.0015770999682694275,0.3044949494949495,0.3076329966329966,3,90.92833333333334,0.4683986905760229,90.435,91.367,3,226.0,6.557438524302,220,233,3,42083.666666666664,629.8907312648239,41474,42732,3,0.14169584736251398,0.002120844213012852,0.1396430976430976,0.1438787878787878,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.10894664115833426,0.009430655893907385,0.101627591575448,0.1195890668864748,3,0.07454562394561506,0.006452830070206186,0.0695376382196168,0.0818275949522546,3,0.0179084204137325,0.0015501913777961885,0.0167053304612636,0.0196577999740839,3,0.5193442006905874,0.044955555804812586,0.4844545796513557,0.5700762122869492,3,0.7041641689023611,1.1864445507639727e-09,0.704164167810175,0.7041641701646928,3,0.2998122454425612,1.9922084482967855e-09,0.2998122436790196,0.2998122476035252,3
new_cel_4to1,sign_test_og_cel,spectral_radius,0.95,0.0,closed,3604.0,0.0,3604,3604,3,0.0,0.0,0.0,0.0,3,100.5592269897461,0.0,100.5592269897461,100.5592269897461,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.9500007629394532,0.0,0.9500007629394532,0.9500007629394532,3,0.0094471688818458,0.0,0.0094471688818458,0.0094471688818458,3,82519.0,2846.3662800138704,79615,85304,3,0.2778417508417508,0.009583724848531589,0.268063973063973,0.2872188552188552,3,82.519,2.846366280013878,79.615,85.304,3,206.66666666666666,3.055050463303897,204,210,3,38358.666666666664,1048.8147278396382,37150,39029,3,0.12915375982042643,0.0035313627199988185,0.125084175084175,0.1314107744107744,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.057472253096923,0.0,0.057472253096923,0.057472253096923,3,0.0393248002770684,0.0,0.0393248002770684,0.0393248002770684,3,0.0094471685588359,0.0,0.0094471685588359,0.0094471685588359,3,0.2739678844809532,0.0,0.2739678844809532,0.2739678844809532,3,0.7041641659387173,0.0,0.7041641659387173,0.7041641659387173,3,0.2998122436366333,0.0,0.2998122436366333,0.2998122436366333,3
new_cel_4to1,sign_test_og_cel,spectral_radius,0.95,0.5,closed,3604.0,0.0,3604,3604,3,0.5,0.0,0.5,0.5,3,44.88750457763672,3.7409933851607846,40.69631576538086,47.8889045715332,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,0.9500004649162292,6.717102331475955e-07,0.9499996900558472,0.9500008821487428,3,0.021266249138748198,0.0018408514346589828,0.0198375805105534,0.0233436364479984,3,95499.66666666667,1223.8301897458382,94416,96827,3,0.3215476992143658,0.00412064036951459,0.3178989898989899,0.326016835016835,3,95.49966666666667,1.2238301897458386,94.416,96.827,3,233.66666666666666,8.32666399786453,227,243,3,43809.0,693.3534452211225,43011,44264,3,0.14750505050505047,0.002334523384582895,0.1448181818181818,0.149037037037037,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.1293741321589385,0.011198897260466328,0.1206827683431646,0.1420120059433363,3,0.08852292479858986,0.00766273199264206,0.0825759476617598,0.0971702620424258,3,0.021266248698035867,0.0018408511073448105,0.0198375806212425,0.0233436357229948,3,0.6167212128639221,0.05338470129264055,0.5752898305654526,0.6769654601812363,3,0.7041641674157124,2.2561188853560927e-09,0.704164166021903,0.7041641700186717,3,0.2998122446680682,2.056062588350237e-09,0.2998122432839537,0.2998122470306235,3
new_cel_4to1,sign_test_og_cel,spectral_radius,1.05,0.0,closed,3604.0,0.0,3604,3604,3,0.0,0.0,0.0,0.0,3,100.5592269897461,0.0,100.5592269897461,100.5592269897461,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,1.0500026941299438,0.0,1.0500026941299438,1.0500026941299438,3,0.0104416077115138,0.0,0.0104416077115138,0.0104416077115138,3,83777.33333333333,2916.077902480202,80787,86613,3,0.28207856341189674,0.009818444116094968,0.272010101010101,0.2916262626262626,3,83.77733333333333,2.916077902480198,80.787,86.613,3,212.66666666666666,6.4291005073286405,208,220,3,39028.333333333336,1067.2217826362673,37808,39787,3,0.13140852974186304,0.0035933393354756066,0.1272996632996633,0.1339629629629629,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.0635219674815664,0.0,0.0635219674815664,0.0635219674815664,3,0.0434642563843863,0.0,0.0434642563843863,0.0434642563843863,3,0.0104416077956557,0.0,0.0104416077956557,0.0104416077956557,3,0.3028066381812095,0.0,0.3028066381812095,0.3028066381812095,3,0.7041641702932413,0.0,0.7041641702932413,0.7041641702932413,3,0.2998122472991846,0.0,0.2998122472991846,0.2998122472991846,3
new_cel_4to1,sign_test_og_cel,spectral_radius,1.05,0.5,closed,3604.0,0.0,3604,3604,3,0.5,0.0,0.5,0.5,3,44.88750457763672,3.7409933851607846,40.69631576538086,47.8889045715332,3,67.95806884765625,2.810205071355591,65.60836029052734,71.0710678100586,3,1.049999435742696,1.240769624360762e-06,1.0499980449676514,1.0500004291534424,3,0.023504801679669066,0.0020346252698862565,0.0219257468800853,0.0258008613372614,3,98878.0,2109.6513930031188,97295,101273,3,0.3329225589225589,0.007103203343444852,0.3275925925925926,0.340986531986532,3,98.878,2.1096513930031118,97.295,101.273,3,237.0,8.888194417315589,230,247,3,44896.0,954.628723640767,43922,45830,3,0.15116498316498317,0.0032142381267365916,0.1478855218855219,0.1543097643097643,3,6527.0,0.0,6527,6527,3,3.89290638884633,0.0,3.8929063888463302,3.8929063888463302,3,0.14299246503459917,0.012377729363316409,0.1333862209423869,0.1569606424554498,3,0.09784112957563477,0.008469335276958088,0.0912681556132945,0.1073987129522787,3,0.023504801715413665,0.0020346252019681414,0.0219257473945617,0.0258008614182472,3,0.6816392441590627,0.059004139327635485,0.6358466744422913,0.7482249885797501,3,0.7041641668443407,1.3385883298634323e-09,0.70416416530092,0.704164167688218,3,0.2998122444701279,1.9289147496038388e-09,0.2998122424161102,0.2998122462431063,3
