config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.1955284833908081,0.1955284833908081,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.1983685553073883,0.1955284833908081,0.0028400719165802,91,91,100.0,0,0,0,0
t_train_x0.25,0.2027242422103882,0.1955284833908081,0.007195758819580095,91,91,100.0,0,0,0,0
t_test_x0.25,0.19876798391342165,0.1955284833908081,0.003239500522613542,91,91,100.0,0,0,0,0
washout_x0.75,0.1998639702796936,0.1955284833908081,0.0043354868888854925,91,91,100.0,0,0,0,0
t_train_x0.75,0.19953623414039612,0.1955284833908081,0.004007750749588007,91,91,100.0,0,0,0,0
t_test_x0.75,0.20156739950180055,0.1955284833908081,0.006038916110992443,91,91,100.0,0,0,0,0
washout_x1.25,0.1988235890865326,0.1955284833908081,0.0032951056957244984,91,91,100.0,0,0,0,0
t_train_x1.25,0.19906291365623474,0.1955284833908081,0.00353443026542663,91,91,100.0,0,0,0,0
t_test_x1.25,0.19731844663619996,0.1955284833908081,0.0017899632453918513,91,91,100.0,0,0,0,0
