model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
real,0,0.95,0.8,1.0,30,3.2134156227111816,100.0
real,0,0.95,0.8,1.0,50,3.2134156227111816,100.0
real,0,0.95,0.8,1.0,80,3.2134156227111816,100.0
shuffle_weights,0,0.95,0.8,1.0,30,4.076556205749512,100.0
shuffle_weights,0,0.95,0.8,1.0,50,4.076556205749512,100.0
shuffle_weights,0,0.95,0.8,1.0,80,4.076556205749512,100.0
cel_randN,0,0.95,0.8,1.0,30,5.6776123046875,100.0
cel_randN,0,0.95,0.8,1.0,50,5.6776123046875,100.0
cel_randN,0,0.95,0.8,1.0,80,5.6776123046875,100.0
er_randN,0,0.95,0.8,1.0,30,8.42555046081543,100.0
er_randN,0,0.95,0.8,1.0,50,8.42555046081543,100.0
er_randN,0,0.95,0.8,1.0,80,8.42555046081543,100.0
ws_p01_randN,0,0.95,0.8,1.0,30,8.591339111328125,100.0
ws_p01_randN,0,0.95,0.8,1.0,50,8.591339111328125,100.0
ws_p01_randN,0,0.95,0.8,1.0,80,8.591339111328125,100.0
conn_shuf,0,0.95,0.8,1.0,30,3.3897416591644287,100.0
conn_shuf,0,0.95,0.8,1.0,50,3.3897416591644287,100.0
conn_shuf,0,0.95,0.8,1.0,80,3.3897416591644287,100.0
local_sign,0,0.95,0.8,1.0,30,3.556992530822754,100.0
local_sign,0,0.95,0.8,1.0,50,3.556992530822754,100.0
local_sign,0,0.95,0.8,1.0,80,3.556992530822754,100.0
conn_shuf_only,0,0.95,0.8,1.0,30,3.3780999183654785,100.0
conn_shuf_only,0,0.95,0.8,1.0,50,3.3780999183654785,100.0
conn_shuf_only,0,0.95,0.8,1.0,80,3.3780999183654785,100.0
cel_sample,0,0.95,0.8,1.0,30,2.761268138885498,100.0
cel_sample,0,0.95,0.8,1.0,50,2.761268138885498,100.0
cel_sample,0,0.95,0.8,1.0,80,2.761268138885498,100.0
local_sign+flat,0,0.95,0.8,1.0,30,4.194161415100098,100.0
local_sign+flat,0,0.95,0.8,1.0,50,4.194161415100098,100.0
local_sign+flat,0,0.95,0.8,1.0,80,4.194161415100098,100.0
local_sign+sample,0,0.95,0.8,1.0,30,3.4519660472869873,100.0
local_sign+sample,0,0.95,0.8,1.0,50,3.4519660472869873,100.0
local_sign+sample,0,0.95,0.8,1.0,80,3.4519660472869873,100.0
local_sign+binary,0,0.95,0.8,1.0,30,3.208637237548828,100.0
local_sign+binary,0,0.95,0.8,1.0,50,3.208637237548828,100.0
local_sign+binary,0,0.95,0.8,1.0,80,3.208637237548828,100.0
global_sign_pres,0,0.95,0.8,1.0,30,3.63197660446167,100.0
global_sign_pres,0,0.95,0.8,1.0,50,3.63197660446167,100.0
global_sign_pres,0,0.95,0.8,1.0,80,3.63197660446167,100.0
binary+shuffle,0,0.95,0.8,1.0,30,3.2021045684814453,100.0
binary+shuffle,0,0.95,0.8,1.0,50,3.2021045684814453,100.0
binary+shuffle,0,0.95,0.8,1.0,80,3.2021045684814453,100.0
real,1,0.95,0.8,1.0,30,3.412672281265259,100.0
real,1,0.95,0.8,1.0,50,3.412672281265259,100.0
real,1,0.95,0.8,1.0,80,3.412672281265259,100.0
shuffle_weights,1,0.95,0.8,1.0,30,3.2530007362365723,100.0
shuffle_weights,1,0.95,0.8,1.0,50,3.2530007362365723,100.0
shuffle_weights,1,0.95,0.8,1.0,80,3.2530007362365723,100.0
cel_randN,1,0.95,0.8,1.0,30,7.728792667388916,100.0
cel_randN,1,0.95,0.8,1.0,50,7.728792667388916,100.0
cel_randN,1,0.95,0.8,1.0,80,7.728792667388916,100.0
er_randN,1,0.95,0.8,1.0,30,7.963824272155762,100.0
er_randN,1,0.95,0.8,1.0,50,7.963824272155762,100.0
er_randN,1,0.95,0.8,1.0,80,7.963824272155762,100.0
ws_p01_randN,1,0.95,0.8,1.0,30,8.453714370727539,100.0
ws_p01_randN,1,0.95,0.8,1.0,50,8.453714370727539,100.0
ws_p01_randN,1,0.95,0.8,1.0,80,8.453714370727539,100.0
conn_shuf,1,0.95,0.8,1.0,30,3.7256317138671875,100.0
conn_shuf,1,0.95,0.8,1.0,50,3.7256317138671875,100.0
conn_shuf,1,0.95,0.8,1.0,80,3.7256317138671875,100.0
local_sign,1,0.95,0.8,1.0,30,2.9706451892852783,100.0
local_sign,1,0.95,0.8,1.0,50,2.9706451892852783,100.0
local_sign,1,0.95,0.8,1.0,80,2.9706451892852783,100.0
conn_shuf_only,1,0.95,0.8,1.0,30,3.3235678672790527,100.0
conn_shuf_only,1,0.95,0.8,1.0,50,3.3235678672790527,100.0
conn_shuf_only,1,0.95,0.8,1.0,80,3.3235678672790527,100.0
cel_sample,1,0.95,0.8,1.0,30,3.828566789627075,100.0
cel_sample,1,0.95,0.8,1.0,50,3.828566789627075,100.0
cel_sample,1,0.95,0.8,1.0,80,3.828566789627075,100.0
local_sign+flat,1,0.95,0.8,1.0,30,4.047004699707031,100.0
local_sign+flat,1,0.95,0.8,1.0,50,4.047004699707031,100.0
local_sign+flat,1,0.95,0.8,1.0,80,4.047004699707031,100.0
local_sign+sample,1,0.95,0.8,1.0,30,3.10638427734375,100.0
local_sign+sample,1,0.95,0.8,1.0,50,3.10638427734375,100.0
local_sign+sample,1,0.95,0.8,1.0,80,3.10638427734375,100.0
local_sign+binary,1,0.95,0.8,1.0,30,2.209212303161621,100.0
local_sign+binary,1,0.95,0.8,1.0,50,2.209212303161621,100.0
local_sign+binary,1,0.95,0.8,1.0,80,2.209212303161621,100.0
global_sign_pres,1,0.95,0.8,1.0,30,2.9656920433044434,100.0
global_sign_pres,1,0.95,0.8,1.0,50,2.9656920433044434,100.0
global_sign_pres,1,0.95,0.8,1.0,80,2.9656920433044434,100.0
binary+shuffle,1,0.95,0.8,1.0,30,2.961426019668579,100.0
binary+shuffle,1,0.95,0.8,1.0,50,2.961426019668579,100.0
binary+shuffle,1,0.95,0.8,1.0,80,2.961426019668579,100.0
real,2,0.95,0.8,1.0,30,2.7590014934539795,100.0
real,2,0.95,0.8,1.0,50,2.7590014934539795,100.0
real,2,0.95,0.8,1.0,80,2.7590014934539795,100.0
