mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
real,65,0.6,0.6,0.1,3.7539453506469727,4.087709426879883,1.6966973543167114,1.7812397480010986,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.6,0.5,4.025516986846924,6.59637987613678,2.018178701400757,2.685234546661377,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.6,1.0,3.6867928504943848,6.6469714641571045,2.2902309894561768,3.589874744415283,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.6,1.5,2.4281792640686035,4.329296827316284,2.436302900314331,4.182033061981201,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.8,0.1,4.215354919433594,4.510381877422333,1.7826050519943237,1.8752765655517578,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.8,0.5,4.483271598815918,7.384909272193909,2.146669626235962,2.894890308380127,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.8,1.0,2.6156082153320312,5.28127646446228,2.4637465476989746,3.9619076251983643,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,0.8,1.5,1.1609044075012207,2.0510096549987793,2.6353015899658203,4.672276020050049,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,1.0,0.1,4.797820568084717,5.263702034950256,1.9095473289489746,2.010598659515381,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,1.0,0.5,5.077468395233154,8.41874486207962,2.3319649696350098,3.195039987564087,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,1.0,1.0,3.548992156982422,5.635606288909912,2.7087607383728027,4.484732627868652,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.6,1.0,1.5,3.008491277694702,4.685083985328674,2.9109206199645996,5.349240779876709,0.0009280519443564117,0.5628097057342529,6512468,chunk_13
real,65,0.8,0.6,0.1,4.3426384925842285,4.723746299743652,2.1209192276000977,2.228651285171509,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.6,0.5,4.469945907592773,7.428578734397888,2.504842758178711,3.381709575653076,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.6,1.0,3.941978931427002,7.173865258693695,2.7960965633392334,4.517640113830566,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.6,1.5,2.50946044921875,4.329517066478729,2.9330217838287354,5.2332539558410645,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.8,0.1,4.983260154724121,5.399826943874359,2.2317628860473633,2.360637903213501,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.8,0.5,5.023029327392578,8.290094435214996,2.6952426433563232,3.7256383895874023,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.8,1.0,3.988889217376709,5.796546399593353,3.067819118499756,5.142766952514648,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,0.8,1.5,2.748946189880371,5.08830714225769,3.2486510276794434,6.053380012512207,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,1.0,0.1,5.767517566680908,6.407971382141113,2.412418842315674,2.562161445617676,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,1.0,0.5,5.674847602844238,9.465864777565002,2.9863600730895996,4.237975120544434,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,1.0,1.0,3.1301379203796387,5.9885783195495605,3.466062545776367,6.0504841804504395,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.8,1.0,1.5,3.910344362258911,5.336649119853973,3.697012186050415,7.214666843414307,0.0012374025536701083,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.6,0.1,4.621051788330078,5.012024104595184,2.693019151687622,2.7887418270111084,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.6,0.5,4.591853141784668,7.733946323394775,3.100416421890259,4.235288619995117,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.6,1.0,3.9684154987335205,7.221222877502441,3.345842123031616,5.546684265136719,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.6,1.5,2.5583386421203613,4.493890464305878,3.431169271469116,6.3144307136535645,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.8,0.1,5.213370323181152,5.697642266750336,2.826901912689209,2.961559534072876,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.8,0.5,5.232068061828613,8.572323322296143,3.3575174808502197,4.743267059326172,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.8,1.0,2.5494043827056885,4.79833048582077,3.7149343490600586,6.440868854522705,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,0.8,1.5,2.579930543899536,4.111925005912781,3.8602800369262695,7.4755539894104,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,1.0,0.1,6.219442367553711,6.896055817604065,3.063739776611328,3.243075132369995,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,1.0,0.5,5.816281795501709,9.632643461227417,3.766535997390747,5.510379791259766,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,1.0,1.0,2.5451927185058594,4.508394300937653,4.273002624511719,7.771062850952148,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,0.95,1.0,1.5,2.898829460144043,4.902667820453644,4.484961032867432,9.149459838867188,0.0014694154961034656,0.5628095865249634,6512468,chunk_13
real,65,1.05,0.6,0.1,4.231277942657471,4.615172624588013,3.088740825653076,3.2398288249969482,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.6,0.5,4.480950355529785,7.39670467376709,3.6730527877807617,5.170281887054443,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.6,1.0,4.00946044921875,7.196617960929871,3.848736047744751,6.513430118560791,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.6,1.5,2.6700456142425537,4.382253468036652,3.8531272411346436,7.250494956970215,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.8,0.1,5.066834449768066,5.476758122444153,3.2167937755584717,3.6640236377716064,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.8,0.5,5.159873962402344,8.447022795677185,4.001530647277832,5.844044208526611,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.8,1.0,3.9073069095611572,6.175301253795624,4.299571514129639,7.647268772125244,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,0.8,1.5,2.232767105102539,4.47006094455719,4.3718695640563965,8.689661979675293,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,1.0,0.1,6.048005104064941,6.6829745173454285,3.5813210010528564,3.9958620071411133,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,1.0,0.5,5.850695610046387,9.603685557842255,4.53179407119751,6.851807117462158,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,1.0,1.0,4.179558753967285,6.49301552772522,4.99217414855957,9.336191177368164,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,65,1.05,1.0,1.5,3.891791820526123,6.614076554775238,5.139759540557861,10.792014122009277,0.0016240908298641443,0.5628097057342529,6512468,chunk_13
real,66,0.6,0.6,0.1,4.6179680824279785,5.014706909656525,1.7428094148635864,1.8035333156585693,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.6,0.5,4.990566253662109,7.105389714241028,2.0492680072784424,2.737786293029785,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.6,1.0,4.280604362487793,6.26991730928421,2.326465606689453,3.653714895248413,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.6,1.5,3.3818516731262207,4.870092391967773,2.4780735969543457,4.220485210418701,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.8,0.1,4.825372695922852,5.332660675048828,1.838605284690857,1.9052315950393677,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.8,0.5,5.177537441253662,7.639777958393097,2.199385643005371,2.9565184116363525,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.8,1.0,3.709662914276123,4.251202344894409,2.5260727405548096,4.0386481285095215,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,0.8,1.5,2.889892578125,3.5820615887641907,2.7016329765319824,4.724212646484375,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,1.0,0.1,5.191571235656738,5.954510033130646,1.9790687561035156,2.0577430725097656,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,1.0,0.5,5.473967552185059,8.545564234256744,2.4108409881591797,3.278247117996216,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
real,66,0.6,1.0,1.0,3.9106833934783936,6.420643210411072,2.8009305000305176,4.574793815612793,0.0009280519443564117,0.5628097057342529,6612468,chunk_13
