IPC delay sensitivity report
K=[1, 3, 5], D candidates=[30, 50, 80], D_ref=80

[Global capture vs D_ref]
capture% mean=100.00, std=0.03, min=99.51, p05=100.00

[Ranking stability vs D_ref]
D_max=30: pearson=1.0000, spearman=1.0000, n_models=14
D_max=50: pearson=1.0000, spearman=1.0000, n_models=14
D_max=80: pearson=1.0000, spearman=1.0000, n_models=14

[Per-model means by D_max]
C. elegans: D=30: 99.96%±0.09%, D=50: 99.98%±0.06%, D=80: 100.00%±0.00%
shuffle: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
cel+randN: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
ER (p=0.1): D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
ws_p0.1+randN: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
celW+connShuf: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
local_sign: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
conn_shuf_only: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
cel_sample: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
local_sign+flat: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
local_sign+sample: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
local_sign+binary: D=30: 99.98%±0.07%, D=50: 99.98%±0.07%, D=80: 100.00%±0.00%
global_sign_pres: D=30: 100.00%±0.00%, D=50: 100.00%±0.00%, D=80: 100.00%±0.00%
binary+shuffle: D=30: 99.98%±0.11%, D=50: 99.98%±0.11%, D=80: 100.00%±0.00%
