EI_bal,frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
44,1,0,0.8,0.2,0.5,4.052992820739746,7.1169798374176025,3.870878219604492,5.273564338684082
44,1,0,0.8,0.2,1.0,5.887732028961182,8.164767384529114,4.515251159667969,7.118233680725098
44,1,0,0.8,0.2,2.0,2.725353479385376,3.7414034605026245,4.011031150817871,7.088046073913574
44,1,0,0.8,0.5,0.5,7.033291339874268,9.687644362449646,4.2082977294921875,5.8265814781188965
44,1,0,0.8,0.5,1.0,5.0280046463012695,7.5914817452430725,3.7497663497924805,5.553791046142578
44,1,0,0.8,0.5,2.0,4.395215034484863,6.588352739810944,5.578148365020752,10.112333297729492
44,1,0,0.8,0.8,0.5,7.209028244018555,10.01012921333313,4.773710250854492,6.722687244415283
44,1,0,0.8,0.8,1.0,5.396391868591309,7.988321244716644,5.014118671417236,8.340171813964844
44,1,0,0.8,0.8,2.0,4.430225372314453,6.935146391391754,5.933699607849121,11.383502960205078
44,1,0,1.0,0.2,0.5,5.483460903167725,7.075606882572174,3.629669666290283,4.597507953643799
44,1,0,1.0,0.2,1.0,5.166003704071045,7.440745234489441,5.039231777191162,8.106133460998535
44,1,0,1.0,0.2,2.0,3.102386951446533,5.360910058021545,3.759150981903076,6.987217903137207
44,1,0,1.0,0.5,0.5,8.292614936828613,10.14623886346817,8.102916717529297,10.662824630737305
44,1,0,1.0,0.5,1.0,5.336050987243652,7.712885499000549,6.098196506500244,10.418055534362793
44,1,0,1.0,0.5,2.0,3.6723103523254395,5.523056209087372,5.818646430969238,11.168689727783203
44,1,0,1.0,0.8,0.5,8.219674110412598,10.458548426628113,10.040692329406738,15.048800468444824
44,1,0,1.0,0.8,1.0,6.45878267288208,7.924357056617737,9.852511405944824,16.00874137878418
44,1,0,1.0,0.8,2.0,4.292614936828613,5.950605988502502,7.317257404327393,14.731810569763184
44,1,0,1.2,0.2,0.5,6.176138401031494,9.081068456172943,5.1513800621032715,6.90032958984375
44,1,0,1.2,0.2,1.0,4.987386703491211,7.5835636258125305,7.462272644042969,10.748120307922363
44,1,0,1.2,0.2,2.0,3.5120692253112793,5.075882732868195,5.232317924499512,9.260054588317871
44,1,0,1.2,0.5,0.5,8.43699836730957,9.403658270835876,10.999082565307617,14.684785842895508
44,1,0,1.2,0.5,1.0,6.086606979370117,9.265866041183472,10.627464294433594,16.83056640625
44,1,0,1.2,0.5,2.0,4.082448959350586,5.7963197231292725,6.140789985656738,11.879270553588867
44,1,0,1.2,0.8,0.5,8.391474723815918,10.409136474132538,10.586236953735352,15.507532119750977
44,1,0,1.2,0.8,1.0,5.769293308258057,8.472201883792877,7.870203018188477,13.768837928771973
44,1,0,1.2,0.8,2.0,3.99725079536438,5.673918724060059,8.05447769165039,16.75670623779297
44,1,1,0.8,0.2,0.5,4.94170618057251,6.205544352531433,3.090294599533081,3.9623966217041016
44,1,1,0.8,0.2,1.0,5.626954555511475,7.95476096868515,3.312807321548462,4.916581153869629
44,1,1,0.8,0.2,2.0,3.0794856548309326,4.725493252277374,3.5640456676483154,5.849385738372803
44,1,1,0.8,0.5,0.5,7.0960917472839355,9.96426808834076,3.752436399459839,5.013351917266846
44,1,1,0.8,0.5,1.0,6.926271915435791,10.637757360935211,6.840670585632324,10.661696434020996
44,1,1,0.8,0.5,2.0,3.4462130069732666,5.45091438293457,3.96846342086792,7.754239559173584
44,1,1,0.8,0.8,0.5,7.208500385284424,10.28875184059143,5.111428737640381,7.398988723754883
44,1,1,0.8,0.8,1.0,5.552057266235352,7.313492596149445,8.585858345031738,14.32358169555664
