config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.20138386487960816,0.20138386487960816,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.1953480064868927,0.20138386487960816,-0.0060358583927154486,91,91,100.0,0,0,0,0
t_train_x0.25,0.1996253788471222,0.20138386487960816,-0.001758486032485962,91,91,100.0,0,0,0,0
t_test_x0.25,0.2002445697784424,0.20138386487960816,-0.0011392951011657548,91,91,100.0,0,0,0,0
washout_x0.75,0.2012333154678345,0.20138386487960816,-0.00015054941177367054,91,91,100.0,0,0,0,0
t_train_x0.75,0.20495731830596925,0.20138386487960816,0.0035734534263610895,91,91,100.0,0,0,0,0
t_test_x0.75,0.19771440029144288,0.20138386487960816,-0.0036694645881652777,91,91,100.0,0,0,0,0
washout_x1.25,0.19493016600608826,0.20138386487960816,-0.006453698873519903,91,91,100.0,0,0,0,0
t_train_x1.25,0.20038890838623047,0.20138386487960816,-0.000994956493377691,91,91,100.0,0,0,0,0
t_test_x1.25,0.20161406993865968,0.20138386487960816,0.00023020505905152477,91,91,100.0,0,0,0,0
