config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,real,5,0.6,0.6,0.1,500,1500,500,4.129295349121094,100.0
baseline,shuffle_weights,5,0.6,0.6,0.1,500,1500,500,4.327131271362305,100.0
baseline,cel_randN,5,0.6,0.6,0.1,500,1500,500,8.394783973693848,100.0
baseline,er_randN,5,0.6,0.6,0.1,500,1500,500,8.847536087036133,100.0
baseline,ws_p01_randN,5,0.6,0.6,0.1,500,1500,500,9.562394142150879,100.0
baseline,conn_shuf,5,0.6,0.6,0.1,500,1500,500,4.888371467590332,100.0
baseline,local_sign,5,0.6,0.6,0.1,500,1500,500,4.276087760925293,100.0
baseline,conn_shuf_only,5,0.6,0.6,0.1,500,1500,500,4.508502960205078,100.0
baseline,cel_sample,5,0.6,0.6,0.1,500,1500,500,4.323776721954346,100.0
baseline,local_sign+flat,5,0.6,0.6,0.1,500,1500,500,4.739138603210449,100.0
baseline,local_sign+sample,5,0.6,0.6,0.1,500,1500,500,4.535058498382568,100.0
baseline,local_sign+binary,5,0.6,0.6,0.1,500,1500,500,3.871082305908203,100.0
baseline,global_sign_pres,5,0.6,0.6,0.1,500,1500,500,4.154124736785889,100.0
baseline,binary+shuffle,5,0.6,0.6,0.1,500,1500,500,3.9050798416137695,100.0
baseline,real,5,0.6,0.6,0.5,500,1500,500,2.8352742195129395,100.0
baseline,shuffle_weights,5,0.6,0.6,0.5,500,1500,500,3.489765167236328,100.0
baseline,cel_randN,5,0.6,0.6,0.5,500,1500,500,4.838172912597656,100.0
baseline,er_randN,5,0.6,0.6,0.5,500,1500,500,4.538138389587402,100.0
baseline,ws_p01_randN,5,0.6,0.6,0.5,500,1500,500,5.5647783279418945,100.0
baseline,conn_shuf,5,0.6,0.6,0.5,500,1500,500,4.43878173828125,100.0
baseline,local_sign,5,0.6,0.6,0.5,500,1500,500,3.714083194732666,100.0
baseline,conn_shuf_only,5,0.6,0.6,0.5,500,1500,500,4.179166793823242,100.0
baseline,cel_sample,5,0.6,0.6,0.5,500,1500,500,3.5139119625091553,100.0
baseline,local_sign+flat,5,0.6,0.6,0.5,500,1500,500,3.4514729976654053,100.0
baseline,local_sign+sample,5,0.6,0.6,0.5,500,1500,500,3.3029141426086426,100.0
baseline,local_sign+binary,5,0.6,0.6,0.5,500,1500,500,3.39937162399292,100.0
baseline,global_sign_pres,5,0.6,0.6,0.5,500,1500,500,3.5404510498046875,100.0
baseline,binary+shuffle,5,0.6,0.6,0.5,500,1500,500,4.053798675537109,100.0
baseline,real,5,0.6,0.6,1.0,500,1500,500,2.2072157859802246,100.0
baseline,shuffle_weights,5,0.6,0.6,1.0,500,1500,500,2.385343313217163,100.0
baseline,cel_randN,5,0.6,0.6,1.0,500,1500,500,2.8464417457580566,100.0
baseline,er_randN,5,0.6,0.6,1.0,500,1500,500,2.331602096557617,100.0
baseline,ws_p01_randN,5,0.6,0.6,1.0,500,1500,500,2.0657835006713867,100.0
baseline,conn_shuf,5,0.6,0.6,1.0,500,1500,500,3.0089447498321533,100.0
baseline,local_sign,5,0.6,0.6,1.0,500,1500,500,2.90932559967041,100.0
baseline,conn_shuf_only,5,0.6,0.6,1.0,500,1500,500,3.3272757530212402,100.0
baseline,cel_sample,5,0.6,0.6,1.0,500,1500,500,2.4968700408935547,100.0
baseline,local_sign+flat,5,0.6,0.6,1.0,500,1500,500,2.43721079826355,100.0
baseline,local_sign+sample,5,0.6,0.6,1.0,500,1500,500,2.0276284217834473,100.0
baseline,local_sign+binary,5,0.6,0.6,1.0,500,1500,500,1.3981589078903198,100.0
baseline,global_sign_pres,5,0.6,0.6,1.0,500,1500,500,2.395120620727539,100.0
baseline,binary+shuffle,5,0.6,0.6,1.0,500,1500,500,2.3738183975219727,100.0
baseline,real,5,0.6,0.6,1.5,500,1500,500,1.0160285234451294,100.0
baseline,shuffle_weights,5,0.6,0.6,1.5,500,1500,500,1.7116750478744507,100.0
baseline,cel_randN,5,0.6,0.6,1.5,500,1500,500,1.5586376190185547,100.0
