config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.2134600043296814,0.2134600043296814,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.2161742687225342,0.2134600043296814,0.0027142643928528,91,91,100.0,0,0,0,0
t_train_x0.25,0.211203932762146,0.2134600043296814,-0.002256071567535406,91,91,100.0,0,0,0,0
t_test_x0.25,0.21614309549331667,0.2134600043296814,0.0026830911636352706,91,91,100.0,0,0,0,0
washout_x0.75,0.21618926525115967,0.2134600043296814,0.002729260921478266,91,91,100.0,0,0,0,0
t_train_x0.75,0.21763358116149903,0.2134600043296814,0.004173576831817627,91,91,100.0,0,0,0,0
t_test_x0.75,0.21167961359024048,0.2134600043296814,-0.001780390739440918,91,91,100.0,0,0,0,0
washout_x1.25,0.2130935549736023,0.2134600043296814,-0.00036644935607910156,91,91,100.0,0,0,0,0
t_train_x1.25,0.21490594148635866,0.2134600043296814,0.0014459371566772627,91,91,100.0,0,0,0,0
t_test_x1.25,0.21170945167541505,0.2134600043296814,-0.0017505526542663519,91,91,100.0,0,0,0,0
