mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
ws_p0.1+randN,175,0.6,0.6,0.1,7.117245197296143,8.323601722717285,2.596104145050049,2.7388432025909424,-4.532756793196313e-05,chunk_7
ws_p0.1+randN,175,0.6,0.6,0.5,7.06046199798584,10.260005950927734,3.8095273971557617,5.743881702423096,-3.355295120854862e-05,chunk_7
ws_p0.1+randN,175,0.6,0.6,1.0,1.3381259441375732,1.814307689666748,4.90326452255249,9.937808990478516,-1.8458189515513368e-05,chunk_7
ws_p0.1+randN,175,0.6,0.6,1.5,1.8494354486465454,2.4258281588554382,5.305047512054443,12.133289337158203,3.702198955579661e-05,chunk_7
ws_p0.1+randN,175,0.6,0.8,0.1,8.666874885559082,10.737602353096008,3.2445871829986572,3.5142836570739746,-1.4063031130717718e-06,chunk_7
ws_p0.1+randN,175,0.6,0.8,0.5,4.647280693054199,6.680063366889954,3.771235942840576,5.673832416534424,-4.068772977916524e-05,chunk_7
ws_p0.1+randN,175,0.6,0.8,1.0,2.295173168182373,2.446142077445984,5.874566078186035,11.937262535095215,3.837996700895019e-05,chunk_7
ws_p0.1+randN,175,0.6,0.8,1.5,2.948967456817627,3.872895121574402,6.077442646026611,13.962541580200195,4.4798056478612125e-05,chunk_7
ws_p0.1+randN,175,0.6,1.0,0.1,12.660979270935059,15.208825826644897,4.30536413192749,4.657143592834473,-6.41340302536264e-05,chunk_7
ws_p0.1+randN,175,0.6,1.0,0.5,5.10158109664917,7.2587475180625916,4.971749782562256,7.688755989074707,-2.4852306523825973e-05,chunk_7
ws_p0.1+randN,175,0.6,1.0,1.0,5.845073699951172,7.437375009059906,6.939924716949463,14.705146789550781,-7.577847281936556e-05,chunk_7
ws_p0.1+randN,175,0.6,1.0,1.5,5.293038368225098,7.766436040401459,9.911778450012207,25.05465316772461,4.2548774217721075e-05,chunk_7
ws_p0.1+randN,175,0.8,0.6,0.1,11.613418579101562,13.241216957569122,4.110402584075928,4.422390460968018,-2.146256338164676e-05,chunk_7
ws_p0.1+randN,175,0.8,0.6,0.5,8.238236427307129,12.838750898838043,5.082009315490723,7.862115859985352,-3.344093056512065e-05,chunk_7
ws_p0.1+randN,175,0.8,0.6,1.0,3.9129621982574463,6.369812309741974,7.944067478179932,17.072229385375977,-9.592525020707399e-05,chunk_7
ws_p0.1+randN,175,0.8,0.6,1.5,2.1041147708892822,3.0226597785949707,8.802482604980469,21.71181869506836,-1.6140447769430466e-05,chunk_7
ws_p0.1+randN,175,0.8,0.8,0.1,13.347790718078613,15.303204476833344,4.663278102874756,5.060093879699707,5.507921741809696e-05,chunk_7
ws_p0.1+randN,175,0.8,0.8,0.5,10.78908920288086,16.26828896999359,8.237689018249512,14.262165069580078,-3.7931084079900756e-05,chunk_7
ws_p0.1+randN,175,0.8,0.8,1.0,5.628664016723633,7.231002926826477,8.89745044708252,20.257564544677734,6.075186320231296e-05,chunk_7
ws_p0.1+randN,175,0.8,0.8,1.5,6.388369560241699,10.012548744678497,13.039915084838867,33.91162872314453,-1.4998707911217934e-06,chunk_7
ws_p0.1+randN,175,0.8,1.0,0.1,16.910873413085938,20.30175691843033,6.881856441497803,7.783579349517822,-2.5662853659014218e-05,chunk_7
ws_p0.1+randN,175,0.8,1.0,0.5,12.129220008850098,18.802318453788757,12.205921173095703,24.211284637451172,0.00020549658802337945,chunk_7
ws_p0.1+randN,175,0.8,1.0,1.0,9.116490364074707,13.857745945453644,16.94449806213379,40.872222900390625,-0.00016615497588645667,chunk_7
ws_p0.1+randN,175,0.8,1.0,1.5,7.708352565765381,11.788361191749573,19.129592895507812,49.81734085083008,-9.224006498698145e-05,chunk_7
ws_p0.1+randN,175,0.95,0.6,0.1,12.51772403717041,14.660277247428894,4.68808650970459,5.059560775756836,0.0003659427457023412,chunk_7
ws_p0.1+randN,175,0.95,0.6,0.5,8.601993560791016,12.796265721321106,6.450231552124023,10.56782341003418,-3.8655420212307945e-05,chunk_7
ws_p0.1+randN,175,0.95,0.6,1.0,6.522635459899902,10.03194534778595,10.971686363220215,24.43767547607422,0.0002783826203085482,chunk_7
ws_p0.1+randN,175,0.95,0.6,1.5,5.638445854187012,8.702259302139282,12.538923263549805,30.850038528442383,5.731590499635786e-05,chunk_7
ws_p0.1+randN,175,0.95,0.8,0.1,13.887405395507812,16.03720384836197,5.933544158935547,6.489336967468262,0.000350780610460788,chunk_7
ws_p0.1+randN,175,0.95,0.8,0.5,11.784577369689941,17.485532224178314,15.607275009155273,29.373428344726562,0.00012604965013451874,chunk_7
ws_p0.1+randN,175,0.95,0.8,1.0,8.50162124633789,13.015201091766357,14.55488395690918,33.11526107788086,7.872283458709717e-05,chunk_7
ws_p0.1+randN,175,0.95,0.8,1.5,7.065038204193115,10.620832860469818,20.259361267089844,53.69167709350586,-0.00025001654285006225,chunk_7
ws_p0.1+randN,175,0.95,1.0,0.1,23.00407600402832,27.143975973129272,13.670145988464355,16.97223472595215,-0.0001230950147146359,chunk_7
ws_p0.1+randN,175,0.95,1.0,0.5,14.30018424987793,19.681484639644623,25.5368709564209,49.65784454345703,0.00010206682054558769,chunk_7
ws_p0.1+randN,175,0.95,1.0,1.0,9.838382720947266,14.25828218460083,35.16007614135742,78.1081771850586,2.606821908557322e-06,chunk_7
ws_p0.1+randN,175,0.95,1.0,1.5,8.12072467803955,11.830680847167969,33.41676712036133,82.5644302368164,-0.00024529319489374757,chunk_7
