mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,kl_to_gaussian,seed
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.1,6.911904811859131,7.972674363006547,2.792485237121582,2.8942811489105225,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.5,5.507980346679688,8.50470645205484,3.422104358673096,4.766993999481201,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.0,4.397408962249756,7.389306759059053,4.005674362182617,6.927157402038574,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.5,3.346116781234741,5.744418477275758,4.276575565338135,8.33872127532959,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.8,0.1,7.854770660400391,9.237638728611104,3.19107437133789,3.326941967010498,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.8,0.5,6.244013786315918,9.960446413023815,3.984692335128784,5.721156597137451,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.8,1.0,4.464477062225342,7.6234896113468125,4.68448543548584,8.438583374023438,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,0.8,1.5,3.49952244758606,6.598051577833136,4.991420269012451,10.193647384643556,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,1.0,0.1,8.763406753540039,10.61013638442111,3.884396314620972,4.087125301361084,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,1.0,0.5,6.626631736755371,10.08299285331941,4.931419849395752,7.375579833984375,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,1.0,1.0,4.57233476638794,8.314601101791482,5.761526584625244,10.83106517791748,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.6,1.0,1.5,4.362860679626465,8.290744121367856,6.090489387512207,12.959054946899414,chunk_0,0.000865053909365,0.289133071899414,0.6587424674798819,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.6,0.1,7.953004360198975,9.16529836104064,4.136168956756592,4.350921154022217,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.6,0.5,5.37760591506958,8.67181313300614,5.03961706161499,7.326210021972656,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.6,1.0,3.666043281555176,6.310699967859364,5.691517353057861,10.3189058303833,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.6,1.5,2.9994614124298096,5.330618387037495,5.948547840118408,12.165508270263672,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.8,0.1,9.066575050354004,10.691367895603848,4.851039409637451,5.165014266967773,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.8,0.5,6.899498462677002,10.62674957884724,6.010584831237793,9.133538246154783,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.8,1.0,4.2823405265808105,6.501066336557052,6.7830986976623535,12.888733863830566,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,0.8,1.5,3.766772508621216,6.757890359977864,7.07196569442749,15.19910717010498,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,1.0,0.1,10.301775932312012,12.494961187923993,6.12659215927124,6.669074535369873,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,1.0,0.5,6.609781265258789,11.21591043334928,7.630589008331299,12.229500770568848,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,1.0,1.0,4.724991321563721,7.201254402291843,8.530488014221191,16.93096160888672,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.8,1.0,1.5,4.193950653076172,7.607444545391047,8.830167770385742,19.645336151123047,chunk_0,0.0011534052900969,0.2891330122947693,0.6575650813618598,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.6,0.1,7.9750895500183105,9.233291028069402,5.093319892883301,5.802400588989258,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.6,0.5,4.717822551727295,7.130413948801365,6.582890033721924,9.91072940826416,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.6,1.0,3.898854970932007,6.34621395215072,7.266482353210449,13.496821403503418,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.6,1.5,4.0208234786987305,6.85718279122068,7.465855598449707,15.616815567016602,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.8,0.1,9.33459186553955,10.966450000160537,6.169400691986084,7.105409145355225,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.8,0.5,6.576794624328613,10.56095844444134,7.952391624450684,12.582907676696776,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.8,1.0,5.556938648223877,9.148326281076251,8.707581520080566,16.996274948120117,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,0.8,1.5,3.5341992378234863,6.464116673586091,8.935051918029785,19.63177299499512,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,1.0,0.1,11.07585334777832,13.500607213787797,8.182246208190918,9.547025680541992,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,1.0,0.5,7.449288368225098,12.36089107769044,10.111038208007812,16.819000244140625,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,1.0,1.0,6.202816486358643,10.344771264790552,10.962809562683104,22.16853904724121,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,0.95,1.0,1.5,4.741421222686768,8.511909265900783,11.194137573242188,25.20577621459961,chunk_0,0.0013696688693016,0.2891329228878021,0.6575650722341487,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.6,0.1,7.724632263183594,8.90629949801064,5.219260692596436,6.645249366760254,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.6,0.5,6.463471412658691,10.31679926248148,7.656996250152588,11.864928245544434,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.6,1.0,4.431022644042969,8.187493565344198,8.426952362060547,15.81804370880127,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.6,1.5,3.9127309322357178,6.881993911404379,8.589739799499512,18.133054733276367,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.8,0.1,8.99232292175293,10.62049531558216,6.710173606872559,7.49733304977417,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.8,0.5,6.06952714920044,7.850568111850862,9.357688903808594,15.139775276184082,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.8,1.0,5.128401756286621,9.470608841103598,10.114171981811523,19.9537296295166,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,0.8,1.5,4.425849914550781,7.828059032712701,10.293041229248049,22.783918380737305,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,1.0,0.1,10.854117393493652,13.560934262897348,9.478985786437988,11.05369758605957,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,1.0,0.5,7.744231700897217,12.269360166645985,11.872262954711914,20.100431442260746,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,1.0,1.0,5.932711601257324,9.68092936503316,12.677815437316896,25.79774475097656,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.2425287356321839,0,1.05,1.0,1.5,4.61115026473999,8.55566421523389,12.861343383789062,28.96554374694824,chunk_0,0.0015138443559408,0.2891329228878021,0.6575650843222264,12346
sign_test_og_cel0.0,0,0.6,0.6,0.1,5.093291282653809,5.779971800640638,1.9663395881652832,2.021770715713501,chunk_0,0.0010116585763171,0.5909786224365234,0.6575650948704993,12346
sign_test_og_cel0.0,0,0.6,0.6,0.5,5.029186725616455,7.883992827578184,2.307814836502075,3.0150434970855717,chunk_0,0.0010116585763171,0.5909786224365234,0.6575650948704993,12346
sign_test_og_cel0.0,0,0.6,0.6,1.0,3.831501007080078,5.961177689000465,2.593360185623169,4.101298809051514,chunk_0,0.0010116585763171,0.5909786224365234,0.6575650948704993,12346
sign_test_og_cel0.0,0,0.6,0.6,1.5,3.1918609142303467,5.724071622020901,2.724028348922729,4.817702293395996,chunk_0,0.0010116585763171,0.5909786224365234,0.6575650948704993,12346
