model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
real,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.4750639065789812
real,0,0.95,0.8,1.0,0.0,0.0,2,even,0.09728372682248221
real,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.016303426902545
real,0,0.95,0.8,1.0,0.0,0.0,4,even,0.09616580552338405
real,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.4463499200821843
real,0,0.95,0.8,1.0,0.0,0.0,6,even,0.12153031062371156
real,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.18399280245466798
real,0,0.95,0.8,1.0,0.0,0.0,8,even,0.12832617784304556
real,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.14540887035627748
real,0,0.95,0.8,1.0,0.0,0.0,10,even,0.07159289063201868
cel_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.351216461176833
cel_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.06969875438335293
cel_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.21965134667812
cel_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.10598052236002786
cel_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.2779301378002614
cel_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.08942997227813976
cel_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.5206284135983879
cel_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.14859725213733554
cel_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.22200145811621042
cel_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.11609927872814296
er_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,8.900536304987327
er_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.06945189257572792
er_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.161373912038471
er_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.13832224665657122
er_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.3730591639040632
er_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.11759351898479053
er_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.35016663293412154
er_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1539395152922225
er_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.17867693652897287
er_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.12512831021047077
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,1,odd,9.179607409457958
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04109319800573985
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,3,odd,4.108602464795695
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,4,even,0.17977020966645796
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.2412643594531563
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,6,even,0.1053588845898048
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.28783695261699904
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,8,even,0.15360313359501276
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.11371783389370194
ws_p01_randN,0,0.95,0.8,1.0,0.0,0.0,10,even,0.16322005753136182
local_sign,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.117841301955252
local_sign,0,0.95,0.8,1.0,0.0,0.0,2,even,0.1265588784753806
local_sign,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.0742281992197604
local_sign,0,0.95,0.8,1.0,0.0,0.0,4,even,0.12386936532060133
local_sign,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.003344014750752
local_sign,0,0.95,0.8,1.0,0.0,0.0,6,even,0.10417363822875814
local_sign,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.3571456181432784
local_sign,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1061138432828983
local_sign,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.10934203488573502
local_sign,0,0.95,0.8,1.0,0.0,0.0,10,even,0.14577721036009983
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.04537664145559
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,2,even,0.12995642296660392
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.5140146359126447
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,4,even,0.11018120037027757
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.3609373239426077
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,6,even,0.10060946768549509
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.5385398857986274
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,8,even,0.12863900828995156
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.20527009033935428
local_sign+flat,0,0.95,0.8,1.0,0.0,0.0,10,even,0.08644691906803814
local_sign+binary,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.065961124609771
