EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
206,4.704503731374388,2.792299714662526,6.993988610196997,4.104177654070706,8.013254626592,4.199965948905978,16.97476500228599,11.310750171099798
207,4.69678938653734,2.712038145683347,6.95487998591529,4.107682136338931,7.701539133213185,3.9482337622325323,16.165563246055886,10.68764799667054
208,4.733729502006813,2.7450110041033584,6.964780194671066,4.0308241638814035,7.621893914540609,3.9278095822068932,16.181642246246337,10.743739179635831
209,4.967254746843268,2.9036774153364178,7.3211238843423345,4.136577870497819,8.7014830271403,4.737603834698904,18.5960384439539,12.577732738141798
210,4.86716212299135,2.806944479766133,7.103242957592011,4.045572071359008,8.49432170479386,4.575186259524937,18.163741445541383,12.315292245673602
211,4.861188346368295,2.80345292479812,7.174851692605902,4.1371417756579,8.507931197131121,4.651762809030745,18.137709984955965,12.429704233904728
212,4.79562800195482,2.749007350775309,7.038346713119083,4.002935901661588,7.691542159186469,4.02725214284161,16.321521024350766,11.002171722241801
213,4.84250423334263,2.7735479852534297,7.031574247501514,4.069278942603401,8.4542265786065,4.599452684514913,17.998337353600395,12.26339194306787
214,4.885332795425698,2.773725964239021,7.276105531498238,3.9839580541710475,8.28550787501865,4.522033839368293,17.38877198078014,12.000677836674177
215,4.639257006733506,2.577165210380925,6.867604041541064,3.8778691969756296,8.100792626981383,4.273608654889339,17.044351908012672,11.416416205326728
216,4.763134600056542,2.689737488265577,7.035420879169747,3.992409414201665,8.346999825371636,4.441235526390658,17.70720650708234,11.863088892944651
217,4.581359098575733,2.623583548965868,6.810940607388814,3.88931339899714,7.086427374239321,3.5037542304134313,14.850806797875299,9.621429476976315
218,4.719726328055064,2.717688604935833,6.959347760235822,3.997758533833351,7.665216170416938,3.930390729204743,16.102507831432202,10.709205126378654
219,4.742859425368132,2.7696780996353274,7.046298840310839,4.091781405192338,8.17408353664257,4.494658078716046,17.464096805784436,12.105319132339075
220,4.77252884220194,2.725770257551473,7.2397307515144345,4.167937449131144,8.391604388201678,4.39122262385408,17.76462407288728,11.801477654577683
221,4.6245965295367775,2.6559342023582557,6.843220346945303,3.9193437796054917,8.24385288203204,4.40320081895294,17.369273245776142,11.623999712787027
222,4.8518931764143485,2.7133306342877894,7.324313818966901,4.134559229574391,8.580740642547607,4.837103616333908,18.157988527086047,12.700523441278124
223,4.798407282211162,2.848705766803901,7.05782811332632,4.2915413277775025,8.170347245534261,4.369506210022893,17.439979945288766,11.762708646108205
