mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,seed
sign_test0.0,0,0.6,0.6,0.1,4.560678005218506,4.861552178859711,1.5899678468704224,1.64474356174469,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.6,0.5,3.9290385246276855,5.088663876056671,1.8621599674224851,2.433650255203247,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.6,1.0,3.0364489555358887,3.532341718673706,2.12379789352417,3.302250623703003,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.6,1.5,2.1000185012817383,3.1038167476654053,2.2743310928344727,3.9030473232269287,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.8,0.1,5.082438945770264,5.419477820396423,1.6718343496322632,1.7305985689163208,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.8,0.5,4.75238037109375,6.598723113536835,1.978978991508484,2.6148674488067627,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.8,1.0,2.854657888412476,4.584522664546967,2.27852201461792,3.624813318252564,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,0.8,1.5,2.787664890289306,3.4801480770111084,2.4486470222473145,4.327887535095215,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,1.0,0.1,5.680354118347168,6.186412990093231,1.7935125827789309,1.858158826828003,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,1.0,0.5,5.090954780578613,7.02177232503891,2.149284601211548,2.8777029514312744,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,1.0,1.0,4.027668476104736,5.884527146816254,2.4995906352996826,4.077236652374268,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.6,1.0,1.5,3.0248913764953613,3.545848548412323,2.695061683654785,4.912819862365723,chunk_0,0.0009280519443564,0.5628097057342529,48345
sign_test0.0,0,0.8,0.6,0.1,5.523948669433594,5.881881773471832,1.9322994947433472,1.9986193180084229,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.6,0.5,4.655194282531738,6.713596880435944,2.250454425811768,2.999675035476685,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.6,1.0,3.3658809661865234,5.048629760742188,2.5285794734954834,4.080477237701416,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.6,1.5,1.4072277545928955,1.858827292919159,2.6767795085906982,4.813745021820068,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.8,0.1,6.140913009643555,6.6064563393592834,2.045912265777588,2.120321273803711,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.8,0.5,4.848368167877197,7.144850671291351,2.4283852577209477,3.2942636013031006,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.8,1.0,3.2987000942230225,4.2889716029167175,2.774244785308838,4.62021017074585,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,0.8,1.5,2.9071102142333984,3.6530452966690063,2.953869581222534,5.5238800048828125,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,1.0,0.1,7.017807483673096,7.717894077301025,2.229144096374512,2.3153109550476074,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,1.0,0.5,5.87958574295044,8.723140478134155,2.7025625705718994,3.7391703128814697,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,1.0,1.0,4.784746170043945,7.401853621006012,3.1376733779907227,5.404566287994385,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.8,1.0,1.5,2.778860569000244,4.894732475280762,3.3572630882263184,6.534328937530518,chunk_0,0.0012374025536701,0.5628095865249634,48345
sign_test0.0,0,0.95,0.6,0.1,6.313084602355957,6.630115211009979,2.4712777137756348,2.553931474685669,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.6,0.5,5.003737449645996,7.227497696876526,2.7479889392852783,3.725490093231201,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.6,1.0,2.2415332794189453,3.1359938383102417,2.9566261768341064,4.922762393951416,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.6,1.5,2.230629205703736,3.990091025829315,3.0643768310546875,5.719878196716309,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.8,0.1,7.014498710632324,7.532828688621521,2.611910581588745,2.7044527530670166,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.8,0.5,4.023197650909424,6.321725308895111,2.986416339874268,4.152318477630615,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.8,1.0,3.692728757858277,5.804718852043152,3.2951223850250244,5.7055983543396,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,0.8,1.5,2.4561660289764404,4.176892876625061,3.446526050567627,6.735921382904053,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,1.0,0.1,8.008675575256348,8.83066862821579,2.8558146953582764,2.9676990509033203,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,1.0,0.5,4.711440086364746,6.953090310096741,3.371910333633423,4.816103458404541,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,1.0,1.0,3.581562042236328,6.241369068622589,3.811070442199707,6.867379188537598,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,0.95,1.0,1.5,4.049159049987793,6.05683046579361,4.014018058776856,8.210455894470215,chunk_0,0.0014694154961034,0.5628095865249634,48345
sign_test0.0,0,1.05,0.6,0.1,6.383153915405273,8.098569810390472,2.511283159255981,2.704855442047119,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.6,0.5,5.213261127471924,7.350864887237549,3.3560216426849365,4.67172384262085,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.6,1.0,2.2308104038238525,3.291926681995392,3.357877492904663,5.720614910125732,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.6,1.5,2.473816156387329,3.956146419048309,3.386186122894287,6.486871719360352,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.8,0.1,7.018925666809082,9.129064798355104,2.697771549224853,2.912209987640381,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.8,0.5,5.519089698791504,7.721376717090607,3.6590309143066406,5.242944240570068,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.8,1.0,4.353002071380615,6.332432270050049,3.7748477458953857,6.727036952972412,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,0.8,1.5,2.0760483741760254,3.0512107014656067,3.856346607208252,7.770872116088867,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,1.0,0.1,7.922110080718994,10.590555846691132,3.016228199005127,3.2725539207458496,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,1.0,0.5,6.197792530059815,8.003742575645447,4.154499530792236,6.135853290557861,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,1.0,1.0,3.711432695388794,5.293730199337006,4.421692848205566,8.235079765319824,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.0,0,1.05,1.0,1.5,2.780925750732422,3.845360517501831,4.563399314880371,9.652759552001951,chunk_0,0.0016240908298641,0.5628097057342529,48345
sign_test0.1,0,0.6,0.6,0.1,4.800637245178223,5.123413920402527,1.6614736318588257,1.7177473306655884,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.6,0.5,3.912957191467285,4.918299615383148,1.9290790557861328,2.5157570838928223,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.6,1.0,2.438850164413452,3.107710063457489,2.183777332305908,3.401574850082397,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.6,1.5,2.536811590194702,3.46082454919815,2.335493803024292,4.024165153503418,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.8,0.1,5.32550573348999,5.708593487739563,1.7545636892318726,1.8155468702316284,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.8,0.5,4.146369934082031,5.992174565792084,2.059465169906616,2.718848705291748,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.8,1.0,2.900409698486328,3.863314688205719,2.3531997203826904,3.7560994625091553,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,0.8,1.5,1.7856324911117554,2.6123505234718323,2.524200439453125,4.487700462341309,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,1.0,0.1,6.00091552734375,6.577934801578522,1.8944944143295288,1.9622001647949217,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,1.0,0.5,4.879878997802734,6.665376901626587,2.25124192237854,3.017079591751098,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,1.0,1.0,3.011858463287353,5.2024946808815,2.597499132156372,4.26043176651001,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.6,1.0,1.5,3.623887538909912,4.637766301631928,2.793750047683716,5.133487701416016,chunk_0,0.0008436322095803,0.4605230689048767,48345
sign_test0.1,0,0.8,0.6,0.1,5.743171691894531,6.119954288005829,2.0644123554229736,2.133570671081543,chunk_0,0.001124842907302,0.4605229794979095,48345
sign_test0.1,0,0.8,0.6,0.5,5.233509063720703,7.397046208381653,2.362894058227539,3.14063024520874,chunk_0,0.001124842907302,0.4605229794979095,48345
sign_test0.1,0,0.8,0.6,1.0,3.0719692707061768,4.605384945869446,2.6127355098724365,4.228877067565918,chunk_0,0.001124842907302,0.4605229794979095,48345
sign_test0.1,0,0.8,0.6,1.5,0.8430954813957214,1.2024506330490112,2.755671501159668,4.985405445098877,chunk_0,0.001124842907302,0.4605229794979095,48345
sign_test0.1,0,0.8,0.8,0.1,6.392215251922607,6.894507586956024,2.1956355571746826,2.274277925491333,chunk_0,0.001124842907302,0.4605229794979095,48345
sign_test0.1,0,0.8,0.8,0.5,4.877636909484863,6.697755992412567,2.5633013248443604,3.474807977676392,chunk_0,0.001124842907302,0.4605229794979095,48345
