frac_replace,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
0.0,5.738593491001262,0.5262521762631316,7.626174887021382,0.4646958439210838,6.167278011639913,0.4682114244835321,11.641346767544746,0.6787623597024468
0.1,5.840293321344587,0.49395505046560145,7.877039513240258,0.4590452876556712,6.767132992545764,0.48887591519405826,13.070197568999397,0.6986866738126923
0.2,5.670597436527411,0.4878119567288521,7.816012196656731,0.4505256628414312,6.613332412309116,0.49556902418428495,12.878397792577744,0.7021371240961317
0.3,5.559047157565753,0.481233276351359,7.540463444673353,0.44947803687813837,6.418387398123741,0.5022580826144796,12.397532822357284,0.7129330617666928
0.4,5.450525167501635,0.4791252741253735,7.4788693226873875,0.44976673401528,6.248384331663449,0.4943715022271773,12.113905772566795,0.7108923480068906
0.5,5.450340860419804,0.47435689139868487,7.530731776522265,0.4399787296530154,6.088086692823304,0.4819700622898206,11.790307700634003,0.6975073963783887
0.6,5.339205940150553,0.46187992497241215,7.400404960744911,0.4356592434801245,6.057475661238034,0.5083993878664246,11.787081766459677,0.7321936242463846
0.7,5.266644300685988,0.46990596213057856,7.2911691678067045,0.4406467426064902,5.8700381434626046,0.4849009714246968,11.34421009487576,0.7098234695691353
0.8,5.1731346601413355,0.4796933945650204,7.1246370072993965,0.45782909351929674,5.803380968670051,0.476910993390651,11.223054056366285,0.7024974572192318
0.9,5.057703056269222,0.46778343202957523,7.053480336235629,0.4393855292687336,5.703953733046849,0.48233813015095933,11.012873593303892,0.7205736872153682
1.0,5.10271321899361,0.4807916800342187,7.033733350121313,0.4477715665267374,5.701015929381053,0.46618308684241416,10.927853385607401,0.6862665516413173
