frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
0.0,0,0.6,0.6,0.1,4.679866790771484,5.3937360644340515,1.9586620330810547,2.0340416431427
0.0,0,0.6,0.6,0.5,3.6700310707092285,5.853319406509399,1.9832998514175415,2.5915794372558594
0.0,0,0.6,0.6,1.0,1.8692905902862549,2.994258224964142,2.260467290878296,3.6076982021331787
0.0,0,0.6,0.6,1.5,1.7296195030212402,2.740142345428467,2.4867961406707764,4.322368621826172
0.0,0,0.6,0.8,0.1,5.465250492095947,5.765215635299683,2.1041879653930664,2.1759467124938965
0.0,0,0.6,0.8,0.5,3.919837713241577,5.846769988536835,2.192488431930542,2.927135944366455
0.0,0,0.6,0.8,1.0,2.734917163848877,4.409640967845917,2.4703333377838135,3.929331064224243
0.0,0,0.6,0.8,1.5,2.533463478088379,3.6426212191581726,2.6513559818267822,4.81932258605957
0.0,0,0.6,1.0,0.1,6.03948974609375,6.7796507477760315,2.147327184677124,2.227158308029175
0.0,0,0.6,1.0,0.5,5.58389139175415,8.602482855319977,2.359224319458008,3.228342056274414
0.0,0,0.6,1.0,1.0,3.8951334953308105,6.254877686500549,2.6845271587371826,4.5788164138793945
0.0,0,0.6,1.0,1.5,2.9819843769073486,4.48271119594574,3.0889713764190674,5.820226669311523
0.0,0,0.8,0.6,0.1,5.073817253112793,5.868265390396118,1.9711363315582275,2.050997734069824
0.0,0,0.8,0.6,0.5,5.123961448669434,6.9326945543289185,2.124570369720459,2.762960910797119
0.0,0,0.8,0.6,1.0,1.8512474298477173,3.0064730644226074,2.790013074874878,4.675386905670166
0.0,0,0.8,0.6,1.5,0.6241651177406311,0.8625870943069458,2.917282819747925,5.406323432922363
0.0,0,0.8,0.8,0.1,6.109421253204346,6.809053182601929,2.347669839859009,2.395416736602783
0.0,0,0.8,0.8,0.5,4.786427021026611,7.2649054527282715,2.808884382247925,3.816948413848877
0.0,0,0.8,0.8,1.0,3.35453462600708,5.5823028683662415,2.913440704345703,5.167766571044922
0.0,0,0.8,0.8,1.5,2.736457347869873,3.5871567726135254,3.396644115447998,6.7548322677612305
0.0,0,0.8,1.0,0.1,7.180607795715332,7.868116557598114,2.096611976623535,2.1868131160736084
0.0,0,0.8,1.0,0.5,5.456757545471191,6.393399775028229,3.5251049995422363,5.0442280769348145
0.0,0,0.8,1.0,1.0,4.09149169921875,6.678225338459015,3.6266517639160156,6.497939586639404
0.0,0,0.8,1.0,1.5,2.906947612762451,3.5696768760681152,3.8783953189849854,8.471267700195312
0.0,0,0.95,0.6,0.1,6.7534565925598145,7.136255145072937,2.8395004272460938,2.896188974380493
0.0,0,0.95,0.6,0.5,5.065839767456055,7.752480506896973,2.563317060470581,3.5062308311462402
0.0,0,0.95,0.6,1.0,2.5497045516967773,3.966430902481079,3.835350513458252,6.759675979614258
