frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
0.0,0,0.6,0.6,0.1,5.790255546569824,6.665981709957123,2.0862228870391846,2.1732380390167236
0.0,0,0.6,0.6,0.5,5.526696681976318,7.886931300163269,3.2379720211029053,4.810984134674072
0.0,0,0.6,0.6,1.0,2.5758891105651855,4.415567338466644,3.6059694290161133,6.432161331176758
0.0,0,0.6,0.6,1.5,0.18666845560073853,0.18414998054504395,4.048348426818848,8.1635103225708
0.0,0,0.6,0.8,0.1,7.128964900970459,7.991371273994446,2.4935007095336914,2.5988669395446777
0.0,0,0.6,0.8,0.5,4.516080856323242,7.002379536628723,3.054220199584961,4.341538429260254
0.0,0,0.6,0.8,1.0,2.5249359607696533,4.139359712600708,4.0379509925842285,7.637444972991943
0.0,0,0.6,0.8,1.5,2.811499834060669,4.379221141338348,4.256704807281494,8.851287841796875
0.0,0,0.6,1.0,0.1,8.124113082885742,9.392498195171356,2.830683469772339,3.000664472579956
0.0,0,0.6,1.0,0.5,6.816051483154297,9.585080623626709,3.579723358154297,5.306107997894287
0.0,0,0.6,1.0,1.0,2.813505172729492,4.751603901386261,4.801215171813965,9.202424049377441
0.0,0,0.6,1.0,1.5,2.991478443145752,4.723266422748566,5.069891929626465,11.190402030944824
0.0,0,0.8,0.6,0.1,7.2540764808654785,8.377785682678223,2.896268844604492,3.038717746734619
0.0,0,0.8,0.6,0.5,6.36171817779541,9.223966896533966,4.1240234375,6.202569484710693
0.0,0,0.8,0.6,1.0,1.9360072612762451,2.7868894934654236,4.2716593742370605,7.513730049133301
0.0,0,0.8,0.6,1.5,1.8877067565917969,3.139479339122772,4.782959461212158,9.610433578491211
0.0,0,0.8,0.8,0.1,8.659571647644043,9.738684237003326,3.4110491275787354,3.60654616355896
0.0,0,0.8,0.8,0.5,5.3827433586120605,7.873165011405945,4.039151668548584,6.1950297355651855
0.0,0,0.8,0.8,1.0,2.7599599361419678,2.5844391584396362,5.251157283782959,10.440703392028809
0.0,0,0.8,0.8,1.5,2.4871063232421875,4.182482540607452,5.816503524780273,13.93752670288086
0.0,0,0.8,1.0,0.1,10.781414985656738,12.400791466236115,3.809523344039917,4.033113956451416
0.0,0,0.8,1.0,0.5,5.5056610107421875,8.409675300121307,5.458152770996094,8.389460563659668
0.0,0,0.8,1.0,1.0,4.55582857131958,6.331267356872559,6.757143497467041,13.960590362548828
0.0,0,0.8,1.0,1.5,4.888998985290527,6.707041800022125,8.435542106628418,20.114871978759766
0.0,0,0.95,0.6,0.1,8.636268615722656,9.436330914497375,4.627480506896973,4.869726181030273
0.0,0,0.95,0.6,0.5,7.057928562164307,10.565242648124695,5.644781589508057,9.009384155273438
0.0,0,0.95,0.6,1.0,2.8649182319641113,4.028184533119202,6.228096961975098,12.521936416625977
0.0,0,0.95,0.6,1.5,2.137503147125244,2.904833436012268,6.711136817932129,15.579833984375
0.0,0,0.95,0.8,0.1,10.622956275939941,12.045051753520966,4.210770130157471,4.4327874183654785
0.0,0,0.95,0.8,0.5,6.082020282745361,9.408526062965393,5.834843635559082,9.320499420166016
0.0,0,0.95,0.8,1.0,3.671471118927002,5.705218851566315,7.050789833068848,14.871986389160156
0.0,0,0.95,0.8,1.5,3.7464945316314697,5.262386679649353,7.469606399536133,17.99226951599121
0.0,0,0.95,1.0,0.1,12.4917573928833,14.825916230678558,5.955239295959473,6.519283294677734
0.0,0,0.95,1.0,0.5,6.952709197998047,9.58141404390335,7.997994422912598,14.035748481750488
0.0,0,0.95,1.0,1.0,3.9734113216400146,7.001558005809784,9.92740249633789,22.335947036743164
0.0,0,0.95,1.0,1.5,3.8869810104370117,5.495707869529724,11.077228546142578,28.977182388305664
0.0,0,1.05,0.6,0.1,9.626708030700684,11.159533858299255,5.0834431648254395,5.469598293304443
0.0,0,1.05,0.6,0.5,6.727834224700928,10.198944449424744,7.052694320678711,11.36114501953125
0.0,0,1.05,0.6,1.0,2.1697893142700195,3.988893985748291,7.3130059242248535,15.367941856384277
0.0,0,1.05,0.6,1.5,2.485383987426758,4.038355708122253,7.239336013793945,16.68500518798828
