frac_replace,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
0.0,4.136704658468564,0.38245953395183035,5.648519784543249,0.3318504210479596,3.306970048778587,0.31371026145571274,5.430111573470963,0.505317510239163
0.1,4.175361477914784,0.3765272791570918,5.69740613790022,0.32748711008680853,3.3199620137612027,0.32321975724814045,5.456527688437038,0.5193841297542563
0.2,4.153448116862112,0.38303583884637765,5.651933710111512,0.3335386959003059,3.3137408763170244,0.3066678618710598,5.429494984944662,0.492811515258751
0.3,4.154678511122863,0.3797787222237858,5.654688033378786,0.33232744903146433,3.330646469195684,0.32501566926672787,5.492097953458627,0.520771798140749
0.4,4.164790244317717,0.3763599898936431,5.669131196041902,0.32426460361914333,3.310366148749987,0.32171474297300784,5.42900529752175,0.5136543421412333
0.5,4.189667457756069,0.3783195198413142,5.708028677271472,0.33123431425906463,3.308262096510993,0.319998646364386,5.439280470709006,0.5126988287714608
0.6,4.137507525831461,0.3793597127201084,5.641493052823676,0.32620145967195974,3.316098362704118,0.31848736701131153,5.452891112201744,0.5121911407768488
0.7,4.126542558769385,0.38683401020318897,5.609213334239191,0.33738952656792764,3.324924327764246,0.3202563494983658,5.468764836589496,0.5107304681681681
0.8,4.174953737192684,0.37797644752127385,5.66012605552872,0.3276358613323812,3.3191135976049635,0.31767702980956275,5.463086206879881,0.5109119669907035
0.9,4.162777098102702,0.38307512912424124,5.649136436730624,0.3323066071570222,3.3160034686326982,0.32408851886014606,5.458958098126782,0.5194252963261164
1.0,4.128746756083435,0.3871563577821808,5.651223744700352,0.34161497926984746,3.3109437238838937,0.32114419938393923,5.4369192994303175,0.514465483781043
