mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,kl_to_gaussian,seed
binary+shuffle,0,0.6,0.6,0.1,3.176053524017334,3.3259763675736167,1.8785573244094849,1.9064375162124636,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.6,0.5,3.9349422454833984,5.413284085507328,2.044637441635132,2.3741214275360107,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.6,1.0,4.065824508666992,6.693729150476429,2.245173931121826,2.947929620742798,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.6,1.5,4.093783378601074,6.927455485062694,2.374513864517212,3.353300809860229,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.8,0.1,3.5794806480407715,3.677494806245704,1.968210339546204,1.9952894449234009,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.8,0.5,4.222006320953369,6.149635810357044,2.153154134750366,2.510038375854492,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.8,1.0,4.442657947540283,7.589418164128688,2.376683473587036,3.152487277984619,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,0.8,1.5,4.533873558044434,8.075616886750424,2.521522045135498,3.6096932888031006,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,1.0,0.1,4.072384357452393,4.202343140164203,2.078488826751709,2.102870225906372,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
binary+shuffle,0,0.6,1.0,0.5,4.894058704376221,7.399653759134139,2.2905640602111816,2.686077356338501,chunk_0,0.0014367012772709,0.0482625365257263,0.0,12346
