mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,wt_mag_cv,seed,src
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.6,0.1,3.061194658279419,3.142146006319763,1.6415461301803589,1.6673613786697388,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.6,0.5,3.6857376098632812,5.172467097875256,1.8385543823242188,2.1795496940612793,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.6,1.0,3.9289803504943848,6.7378437832491045,2.0830252170562744,2.7773358821868896,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.6,1.5,3.958315372467041,6.8423529591118495,2.221989154815674,3.159306287765503,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.8,0.1,3.2886598110198975,3.3872544886356764,1.7099065780639648,1.7350050210952759,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.8,0.5,4.123843193054199,6.0264806356708505,1.9193613529205322,2.2890381813049316,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.8,1.0,4.262180805206299,7.530561008915356,2.183499336242676,2.9363086223602295,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,0.8,1.5,4.260596752166748,7.64742334814855,2.3364150524139404,3.3496456146240234,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,1.0,0.1,3.810861110687256,3.9277231327596382,1.7860589027404785,1.8168805837631226,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.0,39,0.6,1.0,0.5,4.629573345184326,6.945125927800518,2.009894847869873,2.42057204246521,0.0009280519443564117,0.5628097057342529,0.8963917938895556,1.1959291696548462,3912346,cel_to_shuffled_cel_chunk_3
