config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.21494979858398439,0.21494979858398439,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.21618119478225709,0.21494979858398439,0.0012313961982726995,91,91,100.0,0,0,0,0
t_train_x0.25,0.21486068964004518,0.21494979858398439,-8.910894393920898e-05,91,91,100.0,0,0,0,0
t_test_x0.25,0.22129004001617433,0.21494979858398439,0.006340241432189947,91,91,100.0,0,0,0,0
washout_x0.75,0.21391180753707886,0.21494979858398439,-0.0010379910469055231,91,91,100.0,0,0,0,0
t_train_x0.75,0.21909183263778687,0.21494979858398439,0.004142034053802479,91,91,100.0,0,0,0,0
t_test_x0.75,0.2206512212753296,0.21494979858398439,0.005701422691345215,91,91,100.0,0,0,0,0
washout_x1.25,0.2196090817451477,0.21494979858398439,0.004659283161163319,91,91,100.0,0,0,0,0
t_train_x1.25,0.21581650972366334,0.21494979858398439,0.0008667111396789551,91,91,100.0,0,0,0,0
t_test_x1.25,0.21925666332244875,0.21494979858398439,0.004306864738464367,91,91,100.0,0,0,0,0
