model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
real,0,0.95,0.8,1.0,30,6.187663830624002,90.48188942784093
real,0,0.95,0.8,1.0,50,6.477159906360714,94.71517562948667
real,0,0.95,0.8,1.0,80,6.838566114999895,100.0
cel_randN,0,0.95,0.8,1.0,30,13.67794569332716,95.35477502013374
cel_randN,0,0.95,0.8,1.0,50,13.865958261631278,96.66549057300676
cel_randN,0,0.95,0.8,1.0,80,14.344269272764917,99.99999999999999
er_randN,0,0.95,0.8,1.0,30,14.469041651741236,96.64426020941497
er_randN,0,0.95,0.8,1.0,50,14.639385620147333,97.78205269104502
er_randN,0,0.95,0.8,1.0,80,14.971444367610442,100.0
ws_p01_randN,0,0.95,0.8,1.0,30,13.711438798897394,95.59679622806735
ws_p01_randN,0,0.95,0.8,1.0,50,13.928029510348663,97.10687685572286
ws_p01_randN,0,0.95,0.8,1.0,80,14.342989869854756,100.0
local_sign,0,0.95,0.8,1.0,30,11.640561116820223,95.13024721900184
local_sign,0,0.95,0.8,1.0,50,11.87158363239105,97.01823430131287
local_sign,0,0.95,0.8,1.0,80,12.236445775256087,100.0
local_sign+flat,0,0.95,0.8,1.0,30,8.545209584206825,93.07701432714997
local_sign+flat,0,0.95,0.8,1.0,50,8.776919065428933,95.60086426797602
local_sign+flat,0,0.95,0.8,1.0,80,9.180794684895949,100.0
local_sign+binary,0,0.95,0.8,1.0,30,8.194648522969828,93.93984420782874
local_sign+binary,0,0.95,0.8,1.0,50,8.47131311850628,97.11140537114967
local_sign+binary,0,0.95,0.8,1.0,80,8.723293712133817,100.0
global_sign_pres,0,0.95,0.8,1.0,30,8.207924623085717,92.93682809005402
global_sign_pres,0,0.95,0.8,1.0,50,8.437848783188144,95.54021726849363
global_sign_pres,0,0.95,0.8,1.0,80,8.83172450767568,100.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,30,8.11413885430784,93.05428435111112
global_sign_pres_real_weight,0,0.95,0.8,1.0,50,8.342733302951274,95.67584323826996
global_sign_pres_real_weight,0,0.95,0.8,1.0,80,8.719790723113494,100.0
binary_base,0,0.95,0.8,1.0,30,3.1045784594940047,83.5948792847338
binary_base,0,0.95,0.8,1.0,50,3.2998746467056828,88.85348730760523
binary_base,0,0.95,0.8,1.0,80,3.713838079626208,100.0
real,1,0.95,0.8,1.0,30,8.144825878963376,93.43316530429496
real,1,0.95,0.8,1.0,50,8.356640235204269,95.86298836676134
real,1,0.95,0.8,1.0,80,8.717274912433018,100.0
cel_randN,1,0.95,0.8,1.0,30,13.03511926999363,95.54125104390235
cel_randN,1,0.95,0.8,1.0,50,13.243002055489342,97.06493341192423
cel_randN,1,0.95,0.8,1.0,80,13.643446288979234,100.0
er_randN,1,0.95,0.8,1.0,30,14.040156431842377,96.27054481948048
er_randN,1,0.95,0.8,1.0,50,14.260493085566338,97.7813491898363
er_randN,1,0.95,0.8,1.0,80,14.58406250652207,100.0
ws_p01_randN,1,0.95,0.8,1.0,30,14.67303376092321,96.85132346547498
ws_p01_randN,1,0.95,0.8,1.0,50,14.840503583645507,97.9567304477978
ws_p01_randN,1,0.95,0.8,1.0,80,15.150060149827247,100.0
local_sign,1,0.95,0.8,1.0,30,9.022403258110003,94.17663076094478
local_sign,1,0.95,0.8,1.0,50,9.183414111788252,95.8572760703562
local_sign,1,0.95,0.8,1.0,80,9.58029947048351,100.0
local_sign+flat,1,0.95,0.8,1.0,30,6.159163642486208,92.0241718370706
local_sign+flat,1,0.95,0.8,1.0,50,6.3709572434854795,95.18858373837243
local_sign+flat,1,0.95,0.8,1.0,80,6.692984592560146,100.0
local_sign+binary,1,0.95,0.8,1.0,30,7.596593585114363,93.59317465005229
local_sign+binary,1,0.95,0.8,1.0,50,7.796191558119503,96.05230422411194
local_sign+binary,1,0.95,0.8,1.0,80,8.11661065405491,100.0
global_sign_pres,1,0.95,0.8,1.0,30,7.5983098633520285,94.09740648266957
global_sign_pres,1,0.95,0.8,1.0,50,7.794047575693128,96.5214206928538
global_sign_pres,1,0.95,0.8,1.0,80,8.074940795261398,100.0
global_sign_pres_real_weight,1,0.95,0.8,1.0,30,7.802139381433449,94.60010820116845
global_sign_pres_real_weight,1,0.95,0.8,1.0,50,7.957871420573454,96.48834257289617
global_sign_pres_real_weight,1,0.95,0.8,1.0,80,8.247495198252935,100.0
binary_base,1,0.95,0.8,1.0,30,6.607141832778993,91.95562064183275
binary_base,1,0.95,0.8,1.0,50,6.819057378125748,94.9049784714674
binary_base,1,0.95,0.8,1.0,80,7.185141905043324,100.00000000000001
real,2,0.95,0.8,1.0,30,6.873654293450836,92.20272025168804
real,2,0.95,0.8,1.0,50,7.123647014050252,95.55610520506694
real,2,0.95,0.8,1.0,80,7.45493655142457,100.0
cel_randN,2,0.95,0.8,1.0,30,12.50444373992172,95.75106389757568
cel_randN,2,0.95,0.8,1.0,50,12.696544848844818,97.22205180698312
cel_randN,2,0.95,0.8,1.0,80,13.059326164038916,100.0
er_randN,2,0.95,0.8,1.0,30,13.396882720756444,96.15202535458462
er_randN,2,0.95,0.8,1.0,50,13.597160987581292,97.58946131570407
er_randN,2,0.95,0.8,1.0,80,13.933021869640385,99.99999999999999
ws_p01_randN,2,0.95,0.8,1.0,30,14.113182825138892,96.07132154909624
ws_p01_randN,2,0.95,0.8,1.0,50,14.354843907380513,97.71635795410779
ws_p01_randN,2,0.95,0.8,1.0,80,14.690318190248377,100.0
local_sign,2,0.95,0.8,1.0,30,7.882569622170308,93.9934150932384
local_sign,2,0.95,0.8,1.0,50,8.061460403536355,96.12654632775366
local_sign,2,0.95,0.8,1.0,80,8.386299842761385,100.0
local_sign+flat,2,0.95,0.8,1.0,30,7.9276016577361474,93.33587598753581
local_sign+flat,2,0.95,0.8,1.0,50,8.128772630748653,95.7043689820172
local_sign+flat,2,0.95,0.8,1.0,80,8.493627529455885,100.0
local_sign+binary,2,0.95,0.8,1.0,30,6.678502850086204,92.15532089639636
local_sign+binary,2,0.95,0.8,1.0,50,6.870880967719984,94.80990794411422
local_sign+binary,2,0.95,0.8,1.0,80,7.247007318865904,100.0
global_sign_pres,2,0.95,0.8,1.0,30,5.92475822306476,90.92518533557862
global_sign_pres,2,0.95,0.8,1.0,50,6.164942808752048,94.61121388664226
global_sign_pres,2,0.95,0.8,1.0,80,6.516080447016069,100.0
global_sign_pres_real_weight,2,0.95,0.8,1.0,30,6.63326169036851,92.59495306814597
global_sign_pres_real_weight,2,0.95,0.8,1.0,50,6.8283951212182075,95.31885749329314
global_sign_pres_real_weight,2,0.95,0.8,1.0,80,7.163739999400086,100.0
binary_base,2,0.95,0.8,1.0,30,5.930871421015922,90.27120550378964
binary_base,2,0.95,0.8,1.0,50,6.210389280946529,94.52562486050756
binary_base,2,0.95,0.8,1.0,80,6.570058955030728,100.0
real,3,0.95,0.8,1.0,30,8.996604583574225,93.57450387200588
real,3,0.95,0.8,1.0,50,9.207923643625946,95.77245266694808
real,3,0.95,0.8,1.0,80,9.614375937146363,100.0
cel_randN,3,0.95,0.8,1.0,30,12.927106266580893,95.91747542202295
cel_randN,3,0.95,0.8,1.0,50,13.096106094782431,97.17143253613388
cel_randN,3,0.95,0.8,1.0,80,13.477321217748386,100.0
er_randN,3,0.95,0.8,1.0,30,13.676612350662278,96.13413809014642
er_randN,3,0.95,0.8,1.0,50,13.852623702686028,97.37133771144484
er_randN,3,0.95,0.8,1.0,80,14.226592782095278,100.0
ws_p01_randN,3,0.95,0.8,1.0,30,14.452315491946138,96.28175007030912
ws_p01_randN,3,0.95,0.8,1.0,50,14.705768002903326,97.97025813867168
ws_p01_randN,3,0.95,0.8,1.0,80,15.010441211748258,99.99999999999999
local_sign,3,0.95,0.8,1.0,30,12.397837511264527,95.03297572675964
local_sign,3,0.95,0.8,1.0,50,12.633206492991008,96.83714639014522
local_sign,3,0.95,0.8,1.0,80,13.045826900034143,100.00000000000001
local_sign+flat,3,0.95,0.8,1.0,30,10.363572746178603,95.27150199416882
local_sign+flat,3,0.95,0.8,1.0,50,10.558944468376351,97.0675387352464
local_sign+flat,3,0.95,0.8,1.0,80,10.877935719763203,100.0
local_sign+binary,3,0.95,0.8,1.0,30,8.329440797603695,93.59294353755493
local_sign+binary,3,0.95,0.8,1.0,50,8.59465635316679,96.5730120824012
local_sign+binary,3,0.95,0.8,1.0,80,8.899646151487307,100.0
global_sign_pres,3,0.95,0.8,1.0,30,6.7448755277456485,92.04132605377542
global_sign_pres,3,0.95,0.8,1.0,50,6.9906725521711905,95.39549974832848
global_sign_pres,3,0.95,0.8,1.0,80,7.328094690644651,100.0
global_sign_pres_real_weight,3,0.95,0.8,1.0,30,9.195192076681721,93.76955271436574
global_sign_pres_real_weight,3,0.95,0.8,1.0,50,9.414300259329558,96.00394609207967
global_sign_pres_real_weight,3,0.95,0.8,1.0,80,9.806159686707126,100.0
binary_base,3,0.95,0.8,1.0,30,5.683243597273986,92.43534593997909
binary_base,3,0.95,0.8,1.0,50,5.868906484559233,95.45506749874862
binary_base,3,0.95,0.8,1.0,80,6.148344596410423,99.99999999999999
real,4,0.95,0.8,1.0,30,8.088418701874353,93.45388873655834
real,4,0.95,0.8,1.0,50,8.287078337581526,95.74920951261079
real,4,0.95,0.8,1.0,80,8.654983555232448,100.0
cel_randN,4,0.95,0.8,1.0,30,11.020068278175017,95.39078100308095
cel_randN,4,0.95,0.8,1.0,50,11.226153616143108,97.17467569827024
cel_randN,4,0.95,0.8,1.0,80,11.552550636752926,100.0
er_randN,4,0.95,0.8,1.0,30,14.542253628853302,95.93022527520577
er_randN,4,0.95,0.8,1.0,50,14.80458697866942,97.66074779168343
er_randN,4,0.95,0.8,1.0,80,15.15919887307083,100.0
ws_p01_randN,4,0.95,0.8,1.0,30,14.770501199061759,96.76955415621926
ws_p01_randN,4,0.95,0.8,1.0,50,14.959984737197008,98.01096345290958
ws_p01_randN,4,0.95,0.8,1.0,80,15.263582981086287,100.0
local_sign,4,0.95,0.8,1.0,30,6.6976966002541864,93.0965420292877
local_sign,4,0.95,0.8,1.0,50,6.896232097386541,95.856142733265
local_sign,4,0.95,0.8,1.0,80,7.19435593874918,100.0
local_sign+flat,4,0.95,0.8,1.0,30,7.440799155672174,92.31531237331207
local_sign+flat,4,0.95,0.8,1.0,50,7.73821964511162,96.0053011519899
local_sign+flat,4,0.95,0.8,1.0,80,8.06020037670725,100.0
local_sign+binary,4,0.95,0.8,1.0,30,5.721457395590278,91.2199938798096
local_sign+binary,4,0.95,0.8,1.0,50,5.966729465399794,95.13048646237371
local_sign+binary,4,0.95,0.8,1.0,80,6.272152794845397,100.0
global_sign_pres,4,0.95,0.8,1.0,30,5.912957782684962,91.33376081390679
global_sign_pres,4,0.95,0.8,1.0,50,6.145189489231938,94.92089874363772
global_sign_pres,4,0.95,0.8,1.0,80,6.474011066655469,100.0
global_sign_pres_real_weight,4,0.95,0.8,1.0,30,5.7500616535341145,91.9669063968722
global_sign_pres_real_weight,4,0.95,0.8,1.0,50,5.951679678612231,95.19159982757394
global_sign_pres_real_weight,4,0.95,0.8,1.0,80,6.252316054560333,100.00000000000001
binary_base,4,0.95,0.8,1.0,30,6.705214153237595,92.0259731879057
binary_base,4,0.95,0.8,1.0,50,6.921148750270621,94.98957598757282
binary_base,4,0.95,0.8,1.0,80,7.286219228072028,99.99999999999999
real,5,0.95,0.8,1.0,30,8.075399462561073,93.91715927817302
real,5,0.95,0.8,1.0,50,8.320547016945476,96.76823333568753
real,5,0.95,0.8,1.0,80,8.59842815160387,100.0
cel_randN,5,0.95,0.8,1.0,30,12.2111771371368,96.32561664766784
cel_randN,5,0.95,0.8,1.0,50,12.377823620662255,97.64017666980823
cel_randN,5,0.95,0.8,1.0,80,12.6769779027752,100.0
er_randN,5,0.95,0.8,1.0,30,13.738948115543394,96.45353104131587
er_randN,5,0.95,0.8,1.0,50,13.936620460871723,97.84127889040813
er_randN,5,0.95,0.8,1.0,80,14.244111093930108,100.0
ws_p01_randN,5,0.95,0.8,1.0,30,14.455255976403436,96.46976562028686
ws_p01_randN,5,0.95,0.8,1.0,50,14.639935023276422,97.70225464683176
ws_p01_randN,5,0.95,0.8,1.0,80,14.984234576976732,100.0
local_sign,5,0.95,0.8,1.0,30,7.4773923936760625,93.33898071048739
local_sign,5,0.95,0.8,1.0,50,7.64646677704733,95.44950665018197
local_sign,5,0.95,0.8,1.0,80,8.011007123453531,100.0
local_sign+flat,5,0.95,0.8,1.0,30,10.120916386492363,94.66633841966488
local_sign+flat,5,0.95,0.8,1.0,50,10.333654216006616,96.65618900180579
local_sign+flat,5,0.95,0.8,1.0,80,10.691145929427817,100.0
local_sign+binary,5,0.95,0.8,1.0,30,6.312183216830528,91.75918000086028
local_sign+binary,5,0.95,0.8,1.0,50,6.510777798146188,94.64611710457909
local_sign+binary,5,0.95,0.8,1.0,80,6.879075441575816,100.0
global_sign_pres,5,0.95,0.8,1.0,30,6.657138902558078,93.43870290934733
global_sign_pres,5,0.95,0.8,1.0,50,6.816817413206049,95.67992892788656
global_sign_pres,5,0.95,0.8,1.0,80,7.12460543145245,100.0
global_sign_pres_real_weight,5,0.95,0.8,1.0,30,7.074578168379141,92.4572643318967
global_sign_pres_real_weight,5,0.95,0.8,1.0,50,7.301957970462901,95.42887818146268
global_sign_pres_real_weight,5,0.95,0.8,1.0,80,7.65172776795916,100.0
binary_base,5,0.95,0.8,1.0,30,5.191564883701631,90.61208703250576
binary_base,5,0.95,0.8,1.0,50,5.395713459129883,94.17523781625894
binary_base,5,0.95,0.8,1.0,80,5.729439695875488,100.00000000000001
real,6,0.95,0.8,1.0,30,6.6892732792045075,91.46170105422459
real,6,0.95,0.8,1.0,50,6.961191043507644,95.1796028698586
real,6,0.95,0.8,1.0,80,7.313742475922967,100.0
cel_randN,6,0.95,0.8,1.0,30,13.392999632812003,96.28384826678507
cel_randN,6,0.95,0.8,1.0,50,13.589408893397643,97.69585752258229
cel_randN,6,0.95,0.8,1.0,80,13.909913109935562,100.0
er_randN,6,0.95,0.8,1.0,30,13.883319977964948,95.97546068406054
er_randN,6,0.95,0.8,1.0,50,14.14907536244988,97.81262899075469
er_randN,6,0.95,0.8,1.0,80,14.465489281335296,100.0
ws_p01_randN,6,0.95,0.8,1.0,30,14.499832948255156,96.22560704580403
ws_p01_randN,6,0.95,0.8,1.0,50,14.706394597529291,97.59641732787544
ws_p01_randN,6,0.95,0.8,1.0,80,15.068580384588417,100.0
local_sign,6,0.95,0.8,1.0,30,10.732261546812722,95.57064192832539
local_sign,6,0.95,0.8,1.0,50,10.950370343750485,97.51289777464766
local_sign,6,0.95,0.8,1.0,80,11.2296635559501,100.0
local_sign+flat,6,0.95,0.8,1.0,30,8.512242868088467,95.42958813218527
local_sign+flat,6,0.95,0.8,1.0,50,8.66188984750747,97.10725990829474
local_sign+flat,6,0.95,0.8,1.0,80,8.919919947991023,100.0
local_sign+binary,6,0.95,0.8,1.0,30,6.58856611954252,91.73558536474712
local_sign+binary,6,0.95,0.8,1.0,50,6.819458423977949,94.9504033265452
local_sign+binary,6,0.95,0.8,1.0,80,7.182126863142496,100.0
global_sign_pres,6,0.95,0.8,1.0,30,7.092096692528333,92.50527265953855
global_sign_pres,6,0.95,0.8,1.0,50,7.262985264178624,94.7342459237586
global_sign_pres,6,0.95,0.8,1.0,80,7.666694544677981,99.99999999999999
global_sign_pres_real_weight,6,0.95,0.8,1.0,30,8.582306603343405,93.82082870413493
global_sign_pres_real_weight,6,0.95,0.8,1.0,50,8.764011177568428,95.80720305791093
global_sign_pres_real_weight,6,0.95,0.8,1.0,80,9.147549346859648,100.0
binary_base,6,0.95,0.8,1.0,30,6.262586662259977,91.54045147471865
binary_base,6,0.95,0.8,1.0,50,6.519133684671729,95.29040840506978
binary_base,6,0.95,0.8,1.0,80,6.841332505323681,100.0
real,7,0.95,0.8,1.0,30,7.788027459846603,92.79828438952816
real,7,0.95,0.8,1.0,50,8.001194022677964,95.33827175114855
real,7,0.95,0.8,1.0,80,8.39242612196982,100.0
cel_randN,7,0.95,0.8,1.0,30,14.645278190114482,95.91127191024155
cel_randN,7,0.95,0.8,1.0,50,14.917364839315354,97.69315520777197
cel_randN,7,0.95,0.8,1.0,80,15.269611067008107,100.0
er_randN,7,0.95,0.8,1.0,30,15.057710417228101,96.47170231572356
er_randN,7,0.95,0.8,1.0,50,15.24028437115792,97.64141667774038
er_randN,7,0.95,0.8,1.0,80,15.608422009542899,100.0
ws_p01_randN,7,0.95,0.8,1.0,30,15.037590073834792,96.48257627732983
ws_p01_randN,7,0.95,0.8,1.0,50,15.29892856349477,98.15934832916903
ws_p01_randN,7,0.95,0.8,1.0,80,15.585809017589554,100.0
local_sign,7,0.95,0.8,1.0,30,8.78927703943259,93.78569192416518
local_sign,7,0.95,0.8,1.0,50,8.994194657150835,95.97225863254576
local_sign,7,0.95,0.8,1.0,80,9.371660920878606,100.0
local_sign+flat,7,0.95,0.8,1.0,30,11.162526674221326,94.9117044914611
local_sign+flat,7,0.95,0.8,1.0,50,11.437901770255845,97.2531385145927
local_sign+flat,7,0.95,0.8,1.0,80,11.760959024000652,100.0
local_sign+binary,7,0.95,0.8,1.0,30,9.604050763895868,94.63946454596852
