mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,raw_fro,ref_fro,post_fro,scale_factor
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.6,0.1,0.1,4.81153678894043,7.4994565804188085,3.074643135070801,3.3117172718048096,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.6,0.5,0.1,4.215392112731934,9.513055524973709,3.8367109298706055,5.748175144195557,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.6,1.0,0.1,2.14005708694458,5.639868570943335,4.317537307739258,8.08720874786377,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.6,1.5,0.1,1.8139184713363647,3.81993432549973,4.5358381271362305,9.667681694030762,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.8,0.1,0.1,5.542153835296631,8.921213909498494,3.2818331718444824,3.567523241043091,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.8,0.5,0.1,4.003435134887695,8.81162448464741,4.261473178863525,6.613272666931152,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.8,1.0,0.1,3.6358602046966553,8.445292775430374,4.93886137008667,9.670463562011719,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,0.8,1.5,0.1,2.830496072769165,5.8039544999993975,5.248574733734131,11.742280960083008,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,1.0,0.1,0.1,6.9602227210998535,11.606719803800672,3.598114490509033,3.952787399291992,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,1.0,0.5,0.1,5.5411224365234375,11.680617888014481,4.914954662322998,7.92555046081543,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,1.0,1.0,0.1,4.453987121582031,9.724057182764287,5.878791809082031,12.041350364685059,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.0__norm_spectral_radius,spectral_radius,90,1.0,1.0,1.5,0.1,3.1386518478393555,5.404192857048585,6.311135292053223,14.780730247497559,0.0033812213223427534,0.043007783591747284,0.0,9012346,matched_er_4to1_chunk_18,12.083654403686523,12.083654403686523,0.9999998807907104,60.0333251953125,60.0333251953125,4.968142986297607,0.08275642174067115
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.6,0.1,0.1,5.652156352996826,8.92001792144174,3.4028079509735107,3.675462484359741,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.6,0.5,0.1,4.534112930297852,10.207023340220632,4.376682758331299,6.779232978820801,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.6,1.0,0.1,2.854851484298706,5.996113740419254,4.998372554779053,9.797477722167969,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.6,1.5,0.1,2.1066551208496094,5.443456087316719,5.285953044891357,11.817848205566406,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.8,0.1,0.1,6.615524768829346,10.82155725565171,3.7079856395721436,4.055749416351318,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.8,0.5,0.1,5.000110626220703,10.133275008730067,5.026205539703369,8.113860130310059,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.8,1.0,0.1,3.8504908084869385,8.147966760396578,5.927494525909424,12.189467430114746,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,0.8,1.5,0.1,2.99660325050354,7.614108774253509,6.334623336791992,14.883944511413574,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,1.0,0.1,0.1,8.391803741455078,14.04797222281627,4.1977925300598145,4.660061836242676,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
sign_test_er0.1__norm_spectral_radius,spectral_radius,90,1.0,1.0,0.5,0.1,5.621068954467773,13.78746686553675,6.092369079589844,10.282286643981934,0.003379089990630746,0.034683696925640106,0.0,9012346,matched_er_4to1_chunk_18,9.675704002380371,12.083654403686523,0.9999996423721313,60.0333251953125,60.0333251953125,6.204543113708496,0.10335165273286416
