EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
260,4.233215782818971,2.4551357594535297,6.3702693140065225,3.6759995937811163,6.531675810284085,3.122153324774702,13.61639877072087,8.688606443157274
261,4.311510030428568,2.405035889154269,6.459437971203416,3.7364758490442282,6.7298334227667915,3.299048098239639,14.007646576563518,9.005995748685189
262,4.157157947840514,2.2516798675515175,6.121732175791705,3.365055350863458,6.4614246792263454,3.055774427720771,13.403665265330561,8.482333513850374
263,4.338449589852933,2.392741320190292,6.437484173863022,3.611968570869238,6.219950216787833,2.85970465103798,12.807391383912828,8.090092375488885
264,4.271703924514629,2.239283422735353,6.304143834997107,3.3768778133210375,6.3655402942940045,3.0317768345855907,13.15767013585126,8.487596919763698
265,4.2400988194677565,2.407618153838903,6.177830462102537,3.5570132182413543,6.501305746149134,3.120912112350818,13.481397559907702,8.493684382812134
266,4.10787791190324,2.199352270802349,6.052007163453985,3.272504979822281,5.763621996067188,2.624366867435564,11.795159774356419,7.559035958269831
267,4.291834139823914,2.348088612088611,6.281326494835041,3.3775037753646986,6.388159082554004,3.013784611630018,13.213341746506867,8.440155911485315
268,4.244614612173151,2.2576751690446475,6.33270906386552,3.3635363039071597,5.779300988162006,2.5860300422672085,11.837775919172499,7.475756018936984
269,4.2748697232317046,2.339971926719302,6.350105241934458,3.516604118481036,5.981060273559005,2.7953042069428853,12.255543661117553,7.864123225242139
270,4.083446006421689,2.291274173866429,6.105530104813752,3.410513037775008,5.7738952972270825,2.5314047991382655,11.829911761813694,7.3054445640909575
271,4.297786146181601,2.3312045572816045,6.296374163362715,3.4201849142438774,6.0124293874811245,2.705191089927344,12.397037191744204,7.752192178099287
272,4.073747387197282,2.3350973078270196,6.049411135691184,3.4236570919165947,5.957176485768071,2.6660776858370125,12.226407278908624,7.565928915988036
273,4.212956575552623,2.2145243811260906,6.253970653480954,3.217764092769586,5.705552675105907,2.5073547286971207,11.684558550516764,7.300832329443932
274,4.129698779847887,2.2409078470332644,6.073312334219614,3.295595392044606,5.646286047829522,2.461251198500818,11.509602594375611,7.056793593950059
275,4.182154382158209,2.2849235028426627,6.2259333169018785,3.349889088335788,5.7397669209374325,2.5025062289698194,11.729525786859018,7.293723389256529
276,4.068376073130855,2.221934629435,6.016218063124904,3.294840822044646,5.520672519118698,2.338741514146583,11.223870323322437,6.8698113251917166
277,4.045038118627336,2.1381003350794185,6.006352271857085,3.109061824321554,5.466448465983073,2.309106087305271,11.092837784025404,6.739848460200288
