EI_bal,MC_mean,MC_disp,IPC_mean,IPC_disp,KR_mean,KR_disp,GR_mean,GR_disp
40,3.6036648838608354,2.0846422030385736,5.338427466374856,3.1379948018646857,6.234722075638948,1.9333137294494431,12.728004314281323,6.091403103048429
41,3.7699906759791904,2.19940607719715,5.593509221518481,3.384496023082741,6.582058924215811,2.30350738286684,13.596480422549778,7.3868618004618325
42,3.8465465351387307,2.3344390730854405,5.826588103064784,3.5355297272165758,6.702532273751718,2.1154994509347245,13.716626679455793,6.4548313826239445
43,4.2805756683702825,2.387940323797128,6.18630024459627,3.471231405172586,6.501426149297644,1.9621631647332265,13.27841024045591,6.152761715567805
44,4.109600680845755,2.287574044498416,5.84180411806813,3.3511610481692284,6.563341440977873,2.0310151322229077,13.674368134251347,7.148027979513763
45,3.9857661437105247,2.23006496661421,5.94667066026617,3.316931718776194,6.353411656838876,1.8128404371763545,12.903320436124448,5.700442441847248
46,3.7146486904886036,2.2167911600196013,5.592493814450723,3.2620787127159723,6.641726917690701,1.8785413275175211,13.494973712497288,6.042517627813074
47,3.999574018849267,2.4344683052391214,5.998931555836289,3.636255602065694,7.433223062091404,2.8413314949258495,15.624416828155518,8.925075484876968
48,3.7910867399639554,1.979961801089237,5.550699273745219,3.149036832691205,6.301663230966638,1.919912797416852,12.906449830090558,6.371013430859709
49,3.8504857222239175,2.1586406981731674,5.903941328878756,3.2637962363932824,7.082841043119077,2.3127371762950193,14.740902176609746,7.610056077900372
50,4.080133230597885,2.268594222418637,5.9891789378943265,3.4371368643447364,6.965456485748291,1.968080682280921,14.35148678885566,6.492590790927185
51,4.4102093246248035,2.6009277316143753,6.57103172938029,3.872625491684184,7.564550629368535,2.4351869406816573,15.897468354966906,7.822986830632362
52,3.968146739182649,2.3815012429303533,5.824389018394329,3.470400162994855,6.846404985145286,2.404863342737387,14.175663153330484,7.797176653568428
53,4.031289895375569,2.1596863357287104,6.191857048758754,3.3616749109053594,6.744666046566433,2.4223950593138306,14.043837617944789,7.427681155156088
54,4.107291793381727,2.3757041515355617,6.226809600989024,3.7562163514904547,7.221346943466751,2.3087354378863014,15.125659589414242,7.401856628386778
55,3.9576908460369817,2.4550669444350404,5.898188961876763,3.6478245151215147,6.936790589933042,2.394018703306344,14.590386549631754,7.885102119151354
56,4.34495269369196,2.5592589234986245,6.364943466804646,3.7469473005614415,7.55118484850283,2.52827026665179,15.976051595475939,8.264080656898185
57,4.359842986972244,2.513880363736906,6.465990143793601,3.772055737709813,7.2148130116639315,2.423579109955318,15.06440402843334,7.477974635793781
58,4.53302784981551,2.674384782179862,6.6485249378063065,3.988615367561516,8.456808178513139,2.9880781548887665,18.093203685901784,9.329527413837402
59,4.062422469810203,2.368680140467374,6.11155190732744,3.5094887973225197,7.327496917159469,2.5218965566239153,15.29719465750235,7.771328250019169
