normalization,sign_frac,metric,mean,std,n_groups,sem
original_radius,0.0,GR,0.4228810161520988,0.012553897754031174,100,0.0012553897754031173
original_radius,0.0,IPC,0.26946343049021537,0.04439419006445532,100,0.0044394190064455325
original_radius,0.0,KR,0.21379497440576184,0.01629280608164195,100,0.001629280608164195
original_radius,0.0,MC,0.2858466506162151,0.040477069963761866,100,0.004047706996376186
original_radius,0.1,GR,0.469712515848615,0.009078289904190344,100,0.0009078289904190344
original_radius,0.1,IPC,0.26023337079084813,0.04006330748092335,100,0.004006330748092335
original_radius,0.1,KR,0.255111323247766,0.010582962100232565,100,0.0010582962100232564
original_radius,0.1,MC,0.32843336049632527,0.028849093118045906,100,0.0028849093118045906
original_radius,0.2,GR,0.4792105198413942,0.006278002335154358,100,0.0006278002335154358
original_radius,0.2,IPC,0.24871803302431864,0.038497459856786785,100,0.0038497459856786783
original_radius,0.2,KR,0.26590785702677994,0.0061692416367160096,100,0.0006169241636716009
original_radius,0.2,MC,0.3140199358087018,0.03274057002862909,100,0.003274057002862909
original_radius,0.3,GR,0.48153026307019614,0.0055297623419833615,100,0.0005529762341983361
original_radius,0.3,IPC,0.2548980770691771,0.0443577944881649,100,0.00443577944881649
original_radius,0.3,KR,0.2689855441771077,0.004893145035397366,100,0.0004893145035397366
original_radius,0.3,MC,0.31441083062477687,0.037327676764972346,100,0.0037327676764972346
original_radius,0.4,GR,0.48220431135488667,0.0060138884893622315,100,0.0006013888489362232
original_radius,0.4,IPC,0.25561026309540763,0.04048815207814674,100,0.004048815207814674
original_radius,0.4,KR,0.26944596309872637,0.005403778371808321,100,0.0005403778371808321
original_radius,0.4,MC,0.3135053517989065,0.03221033204884926,100,0.0032210332048849257
original_radius,0.5,GR,0.48258325819288606,0.005362232146179202,100,0.0005362232146179202
original_radius,0.5,IPC,0.25417467456111276,0.04121563170158579,100,0.004121563170158579
original_radius,0.5,KR,0.2698705096502463,0.004833169130456763,100,0.00048331691304567625
original_radius,0.5,MC,0.31344145169978704,0.034282310857091026,100,0.0034282310857091025
original_radius,0.6,GR,0.4827278447008533,0.00572204944031421,100,0.000572204944031421
original_radius,0.6,IPC,0.2569439561290596,0.03798868744672767,100,0.003798868744672767
original_radius,0.6,KR,0.26990497356128634,0.005077134144902073,100,0.0005077134144902073
original_radius,0.6,MC,0.3095538387359807,0.03150596949194094,100,0.0031505969491940943
original_radius,0.7,GR,0.4827743546048292,0.005857195933992953,100,0.0005857195933992954
original_radius,0.7,IPC,0.2568893606997474,0.03824724041889787,100,0.003824724041889787
original_radius,0.7,KR,0.2700154772635664,0.005362446990323592,100,0.0005362446990323592
original_radius,0.7,MC,0.3146138108841473,0.03895191321782127,100,0.003895191321782127
original_radius,0.8,GR,0.4837305374187899,0.00589531712760436,100,0.000589531712760436
original_radius,0.8,IPC,0.255024898257582,0.04002221935055037,100,0.004002221935055037
original_radius,0.8,KR,0.2714093406955466,0.005824805628662754,100,0.0005824805628662754
original_radius,0.8,MC,0.31468282950610027,0.0349770005506531,100,0.0034977000550653102
original_radius,0.9,GR,0.4862724399206626,0.00789060698856883,100,0.000789060698856883
original_radius,0.9,IPC,0.24208183441005932,0.04426840129348836,100,0.004426840129348836
original_radius,0.9,KR,0.275402457046534,0.008915163268932118,100,0.0008915163268932118
original_radius,0.9,MC,0.3062219952986057,0.0366819143571391,100,0.0036681914357139097
original_radius,1.0,GR,0.4865618715052264,0.014186805588723749,100,0.0014186805588723749
original_radius,1.0,IPC,0.22931731962888954,0.038885123831342294,100,0.0038885123831342294
original_radius,1.0,KR,0.2825532723245347,0.01803233231848487,100,0.0018032332318484868
original_radius,1.0,MC,0.28733766014259904,0.03739566688978498,100,0.003739566688978498
spectral_radius,0.0,GR,0.4228810161520988,0.012553897754031174,100,0.0012553897754031173
spectral_radius,0.0,IPC,0.26946343049021537,0.04439419006445532,100,0.0044394190064455325
spectral_radius,0.0,KR,0.21379497440576184,0.01629280608164195,100,0.001629280608164195
spectral_radius,0.0,MC,0.2858466506162151,0.040477069963761866,100,0.004047706996376186
spectral_radius,0.1,GR,0.47290814748654453,0.012598506436734602,100,0.0012598506436734603
spectral_radius,0.1,IPC,0.29417309434704747,0.04287255542935933,100,0.004287255542935933
spectral_radius,0.1,KR,0.25852234492526616,0.016442610098443094,100,0.0016442610098443093
spectral_radius,0.1,MC,0.31872559031893044,0.04132507358783355,100,0.004132507358783355
spectral_radius,0.2,GR,0.5418392108386549,0.01100831868903284,100,0.001100831868903284
spectral_radius,0.2,IPC,0.38295557638009387,0.03781402228158362,100,0.003781402228158362
spectral_radius,0.2,KR,0.3353513360794906,0.014274923179606913,100,0.0014274923179606912
spectral_radius,0.2,MC,0.36454617038194875,0.03712403790871216,100,0.003712403790871216
spectral_radius,0.3,GR,0.5961380883149017,0.013036797467208594,100,0.0013036797467208595
spectral_radius,0.3,IPC,0.2273528203762589,0.023177676957257178,100,0.0023177676957257176
spectral_radius,0.3,KR,0.46491228028513126,0.015215100577133758,100,0.0015215100577133758
spectral_radius,0.3,MC,0.33071905053890205,0.04681944926739732,100,0.004681944926739732
spectral_radius,0.4,GR,0.49634768946090135,0.01919045485535775,100,0.0019190454855357749
spectral_radius,0.4,IPC,0.32024468274300383,0.02592848948154411,100,0.002592848948154411
spectral_radius,0.4,KR,0.46475032166058655,0.014144204665561867,100,0.0014144204665561867
spectral_radius,0.4,MC,0.5038247207360432,0.02044532997988034,100,0.002044532997988034
spectral_radius,0.5,GR,0.49887802527357844,0.019500408753205332,100,0.0019500408753205332
spectral_radius,0.5,IPC,0.315002698951144,0.022722233327256338,100,0.002272223332725634
spectral_radius,0.5,KR,0.4683813972217156,0.013604311679498673,100,0.0013604311679498674
spectral_radius,0.5,MC,0.4993468066927601,0.01854276818446949,100,0.0018542768184469489
spectral_radius,0.6,GR,0.4995706106980148,0.018160201943682105,100,0.0018160201943682105
spectral_radius,0.6,IPC,0.32084800881008024,0.022445442977347022,100,0.002244544297734702
spectral_radius,0.6,KR,0.46813242623335605,0.013864798302773092,100,0.0013864798302773093
spectral_radius,0.6,MC,0.5041422114375996,0.0190891554465875,100,0.00190891554465875
spectral_radius,0.7,GR,0.6256890664912967,0.011954094578975684,100,0.0011954094578975683
spectral_radius,0.7,IPC,0.2258293014422646,0.025895706777446695,100,0.0025895706777446697
spectral_radius,0.7,KR,0.49601588156804616,0.014060044933854985,100,0.0014060044933854985
spectral_radius,0.7,MC,0.3827365216250314,0.03206820450497259,100,0.003206820450497259
spectral_radius,0.8,GR,0.5947645404405268,0.010624960717292948,100,0.0010624960717292948
spectral_radius,0.8,IPC,0.3477365326284116,0.03101454644379036,100,0.003101454644379036
spectral_radius,0.8,KR,0.39077110920301195,0.015432753070240961,100,0.001543275307024096
spectral_radius,0.8,MC,0.38098534545190416,0.03373412123811813,100,0.003373412123811813
spectral_radius,0.9,GR,0.5325029127137165,0.012883654736920488,100,0.0012883654736920488
spectral_radius,0.9,IPC,0.2657370198008204,0.0367413595983779,100,0.00367413595983779
spectral_radius,0.9,KR,0.3223825822406327,0.01685407117101732,100,0.001685407117101732
spectral_radius,0.9,MC,0.3304514683299791,0.031814937962796386,100,0.0031814937962796387
spectral_radius,1.0,GR,0.4865618652504405,0.014186902595755765,100,0.0014186902595755765
spectral_radius,1.0,IPC,0.23212980668336428,0.04170389383569452,100,0.004170389383569452
spectral_radius,1.0,KR,0.28255328704951493,0.01803195510570325,100,0.001803195510570325
spectral_radius,1.0,MC,0.2863567494254873,0.03484656726638325,100,0.003484656726638325
