mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,110,0.6,0.6,0.1,0.0,4.405029296875,5.225420064306967,1.623839259147644,1.6753475666046143,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,0.1,0.1,4.3779520988464355,5.153921407217354,1.6769555807113647,1.7777060270309448,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,0.5,0.0,4.26291036605835,5.885400279554119,1.880523443222046,2.437825918197632,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,0.5,0.1,3.5749855041503906,6.164811689774751,2.0763320922851562,2.8628921508789062,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,1.0,0.0,2.9381065368652344,5.10751451937756,2.1293818950653076,3.2923450469970703,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,1.0,0.1,3.242757558822632,5.428241201965648,2.4129905700683594,3.9926528930664062,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,1.5,0.0,2.943159818649292,5.589981702561204,2.2710578441619873,3.8649742603302,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.6,1.5,0.1,2.4135422706604004,3.2145320382546814,2.5921707153320312,4.734038829803467,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,0.1,0.0,5.104452610015869,6.127343012334109,1.7173672914505005,1.775147795677185,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,0.1,0.1,5.058413028717041,6.010855163810504,1.775651216506958,1.8860961198806763,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,0.5,0.0,4.6474690437316895,7.047932439270369,2.009521245956421,2.6572725772857666,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,0.5,0.1,4.158339023590088,6.575135464255709,2.22499418258667,3.1250171661376953,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,1.0,0.0,3.4355080127716064,6.637584297868415,2.2882118225097656,3.65937876701355,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,1.0,0.1,3.1534385681152344,5.031833022240562,2.600015163421631,4.436258316040039,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,1.5,0.0,2.741187572479248,4.980375510988736,2.442652463912964,4.328128814697266,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,0.8,1.5,0.1,2.7089626789093018,4.932194115909432,2.7954530715942383,5.295373916625977,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,0.1,0.0,5.847005844116211,7.03677009635107,1.857993483543396,1.9249433279037476,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,0.1,0.1,5.733394622802734,6.833816205256426,1.92302668094635,2.047971248626709,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,0.5,0.0,4.999327659606934,7.743217269157469,2.200620174407959,2.972797155380249,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,0.5,0.1,4.838578224182129,7.749141818376302,2.4415547847747803,3.497257709503174,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,1.0,0.0,3.5599734783172607,6.786775621929152,2.5179038047790527,4.168280601501465,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,1.0,0.1,2.991943120956421,6.265383658364712,2.865530014038086,5.042174339294434,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,1.5,0.0,2.8041231632232666,5.494353575133076,2.6849722862243652,4.955585956573486,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
real,110,0.6,1.0,1.5,0.1,2.8293445110321045,5.362101495965703,3.0765717029571533,6.043394565582275,0.0009280519443564117,0.5628097057342529,0.8963917938895556,11012346,chunk_11
