model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
local_sign+binary,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.33223049232872626
local_sign+binary,0,0.95,0.8,1.0,0.0,0.0,8,even,0.12746990724645002
local_sign+binary,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.17965764938617212
local_sign+binary,0,0.95,0.8,1.0,0.0,0.0,10,even,0.12385122946034244
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.732007781889479
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,2,even,0.09670529142601936
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,3,odd,2.619886301175029
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,4,even,0.14586665365872187
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.8858300337880651
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,6,even,0.11749863057437082
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.17762319534856497
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,8,even,0.11748795915610799
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.12604927161879687
global_sign_pres,0,0.95,0.8,1.0,0.0,0.0,10,even,0.1009552033806358
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.15684146843148
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04900984044132528
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.691681585288336
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,4,even,0.08619410959207041
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,5,odd,1.176794199996948
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,6,even,0.12179461269579406
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.40520246962576323
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,8,even,0.1170376268205473
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.33483588240574136
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.0,0.0,10,even,0.1128000660150974
binary_base,0,0.95,0.8,1.0,0.0,0.0,1,odd,3.034464693822713
binary_base,0,0.95,0.8,1.0,0.0,0.0,2,even,0.11551003916156333
binary_base,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.3330256532164952
binary_base,0,0.95,0.8,1.0,0.0,0.0,4,even,0.11732578400151947
binary_base,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.4788601836733051
binary_base,0,0.95,0.8,1.0,0.0,0.0,6,even,0.09060111163277806
binary_base,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.2145049933876635
binary_base,0,0.95,0.8,1.0,0.0,0.0,8,even,0.13182182925038433
binary_base,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.14539000210902486
binary_base,0,0.95,0.8,1.0,0.0,0.0,10,even,0.17873729797738847
real,1,0.95,0.8,1.0,0.0,0.0,1,odd,4.670682012149314
real,1,0.95,0.8,1.0,0.0,0.0,2,even,0.10449361031533044
real,1,0.95,0.8,1.0,0.0,0.0,3,odd,2.4017050315117814
real,1,0.95,0.8,1.0,0.0,0.0,4,even,0.07299312874969743
real,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.006355672065638
real,1,0.95,0.8,1.0,0.0,0.0,6,even,0.10361773176689804
real,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.16492887599333894
real,1,0.95,0.8,1.0,0.0,0.0,8,even,0.11282815140378943
real,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.12015302555322194
real,1,0.95,0.8,1.0,0.0,0.0,10,even,0.11365173611193313
cel_randN,1,0.95,0.8,1.0,0.0,0.0,1,odd,7.8881064853585485
cel_randN,1,0.95,0.8,1.0,0.0,0.0,2,even,0.09916694076542854
cel_randN,1,0.95,0.8,1.0,0.0,0.0,3,odd,4.188552641931892
cel_randN,1,0.95,0.8,1.0,0.0,0.0,4,even,0.0806349136479918
cel_randN,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.2830369221792353
cel_randN,1,0.95,0.8,1.0,0.0,0.0,6,even,0.17049236194861805
cel_randN,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.22768916567679298
cel_randN,1,0.95,0.8,1.0,0.0,0.0,8,even,0.11412733651684448
cel_randN,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.1260735563550952
cel_randN,1,0.95,0.8,1.0,0.0,0.0,10,even,0.08145239654809622
er_randN,1,0.95,0.8,1.0,0.0,0.0,1,odd,8.773950707147662
er_randN,1,0.95,0.8,1.0,0.0,0.0,2,even,0.11172075903823497
er_randN,1,0.95,0.8,1.0,0.0,0.0,3,odd,4.1526787285081355
er_randN,1,0.95,0.8,1.0,0.0,0.0,4,even,0.09662865606674131
er_randN,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.1246557402328108
er_randN,1,0.95,0.8,1.0,0.0,0.0,6,even,0.10908239332457015
er_randN,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.1517090849347369
er_randN,1,0.95,0.8,1.0,0.0,0.0,8,even,0.11245494652815324
er_randN,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.1275442491452452
er_randN,1,0.95,0.8,1.0,0.0,0.0,10,even,0.07652982181809875
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,1,odd,8.623555391803166
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,2,even,0.09162884642296376
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,3,odd,4.553384653451687
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,4,even,0.08070545170812693
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.489126307215919
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,6,even,0.09449037471836164
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.21781005858065328
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,8,even,0.08663060781493304
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.1049979361541773
ws_p01_randN,1,0.95,0.8,1.0,0.0,0.0,10,even,0.08764977266622331
local_sign,1,0.95,0.8,1.0,0.0,0.0,1,odd,6.292285031493826
local_sign,1,0.95,0.8,1.0,0.0,0.0,2,even,0.12221370645352181
local_sign,1,0.95,0.8,1.0,0.0,0.0,3,odd,3.7716380435776955
local_sign,1,0.95,0.8,1.0,0.0,0.0,4,even,0.11980378209909759
local_sign,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.104702153797831
local_sign,1,0.95,0.8,1.0,0.0,0.0,6,even,0.08777400877201558
local_sign,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.20080351738715763
local_sign,1,0.95,0.8,1.0,0.0,0.0,8,even,0.104377927780547
local_sign,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.12075888530776524
local_sign,1,0.95,0.8,1.0,0.0,0.0,10,even,0.09347219561533393
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,1,odd,4.822969220489414
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,2,even,0.09611041043831392
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,3,odd,2.731574012967485
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,4,even,0.09002901001440478
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.3297625006766793
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,6,even,0.11201617521973972
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,7,odd,0.09488939262496388
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,8,even,0.1084164766871254
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,9,odd,0.15965671211500876
local_sign+flat,1,0.95,0.8,1.0,0.0,0.0,10,even,0.08033782044379012
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,1,odd,3.759950917958122
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,2,even,0.06378321510798024
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,3,odd,2.6509033728857503
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,4,even,0.07562420994158359
local_sign+binary,1,0.95,0.8,1.0,0.0,0.0,5,odd,1.3031692509625619
