model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
real,0,0.95,0.8,1.0,30,5.816641382083794,93.86177104121036
real,0,0.95,0.8,1.0,50,5.937717253563711,95.81554384255018
real,0,0.95,0.8,1.0,80,6.197029224528456,99.99999999999999
cel_randN,0,0.95,0.8,1.0,30,7.772922437004738,95.78413413812761
cel_randN,0,0.95,0.8,1.0,50,7.848797945655214,96.71913251965995
cel_randN,0,0.95,0.8,1.0,80,8.115041710139202,100.0
er_randN,0,0.95,0.8,1.0,30,14.329625540867628,97.58008688301751
er_randN,0,0.95,0.8,1.0,50,14.43496938092986,98.29744415355796
er_randN,0,0.95,0.8,1.0,80,14.684989528700147,100.0
ws_p01_randN,0,0.95,0.8,1.0,30,14.433744752976368,97.91997108377745
ws_p01_randN,0,0.95,0.8,1.0,50,14.529474233706809,98.56940947592146
ws_p01_randN,0,0.95,0.8,1.0,80,14.740348259117928,100.0
local_sign,0,0.95,0.8,1.0,30,6.071753753221202,94.60938030593647
local_sign,0,0.95,0.8,1.0,50,6.195413515925765,96.53623274326581
local_sign,0,0.95,0.8,1.0,80,6.417707983697909,100.0
local_sign+flat,0,0.95,0.8,1.0,30,7.7658402326078715,94.80117817952272
local_sign+flat,0,0.95,0.8,1.0,50,7.9203286013108425,96.68708864502247
local_sign+flat,0,0.95,0.8,1.0,80,8.191712784309374,100.0
local_sign+binary,0,0.95,0.8,1.0,30,7.720809352468677,95.50787728015459
local_sign+binary,0,0.95,0.8,1.0,50,7.871757589262984,97.37513562280446
local_sign+binary,0,0.95,0.8,1.0,80,8.08395032152282,100.0
global_sign_pres,0,0.95,0.8,1.0,30,7.428617518319243,96.10721152863107
global_sign_pres,0,0.95,0.8,1.0,50,7.5333246088153345,97.46185207514453
global_sign_pres,0,0.95,0.8,1.0,80,7.729511032693109,100.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,30,7.953898787694383,95.07352438613415
global_sign_pres_real_weight,0,0.95,0.8,1.0,50,8.0893754396387,96.69288655256088
global_sign_pres_real_weight,0,0.95,0.8,1.0,80,8.366050211192556,100.0
binary_base,0,0.95,0.8,1.0,30,6.699392607747029,94.91041718330501
binary_base,0,0.95,0.8,1.0,50,6.842642363475022,96.93983908370662
binary_base,0,0.95,0.8,1.0,80,7.058648361863348,99.99999999999999
real,1,0.95,0.8,1.0,30,4.643608135542763,93.18113843481969
real,1,0.95,0.8,1.0,50,4.765597298386865,95.62903858890867
real,1,0.95,0.8,1.0,80,4.983420693868183,100.0
cel_randN,1,0.95,0.8,1.0,30,13.970523430473804,97.97780835083304
cel_randN,1,0.95,0.8,1.0,50,14.055744545163225,98.57547944626752
cel_randN,1,0.95,0.8,1.0,80,14.258865007930158,100.0
er_randN,1,0.95,0.8,1.0,30,14.101622033991667,98.35348501088447
er_randN,1,0.95,0.8,1.0,50,14.158200178975214,98.74809619257475
er_randN,1,0.95,0.8,1.0,80,14.337694320065104,100.0
ws_p01_randN,1,0.95,0.8,1.0,30,14.71682878383126,97.95996869171537
ws_p01_randN,1,0.95,0.8,1.0,50,14.790441283572273,98.4499572806885
ws_p01_randN,1,0.95,0.8,1.0,80,15.023308990783585,100.0
local_sign,1,0.95,0.8,1.0,30,7.581788172878571,96.02856577834761
local_sign,1,0.95,0.8,1.0,50,7.651398970877647,96.9102344483389
local_sign,1,0.95,0.8,1.0,80,7.895346672550328,100.0
