config,tost_bound,baseline_tost_bound,bound_delta_vs_baseline,n_pairs_compared,n_pairs_same_significance,pct_pairs_same_significance,n_baseline_significant,n_baseline_significant_preserved,n_baseline_significant_lost,n_new_significant_vs_baseline
baseline,0.21437000036239626,0.21437000036239626,0.0,91,91,100.0,0,0,0,0
washout_x0.25,0.21066254377365112,0.21437000036239626,-0.003707456588745134,91,91,100.0,0,0,0,0
t_train_x0.25,0.20801401138305664,0.21437000036239626,-0.006355988979339616,91,91,100.0,0,0,0,0
t_test_x0.25,0.20624001026153566,0.21437000036239626,-0.008129990100860601,91,91,100.0,0,0,0,0
washout_x0.75,0.2119106650352478,0.21437000036239626,-0.002459335327148454,91,91,100.0,0,0,0,0
t_train_x0.75,0.21382343769073486,0.21437000036239626,-0.0005465626716613936,91,91,100.0,0,0,0,0
t_test_x0.75,0.2128290057182312,0.21437000036239626,-0.0015409946441650446,91,91,100.0,0,0,0,0
washout_x1.25,0.21252537965774537,0.21437000036239626,-0.0018446207046508845,91,91,100.0,0,0,0,0
t_train_x1.25,0.20942249298095705,0.21437000036239626,-0.004947507381439203,91,91,100.0,0,0,0,0
t_test_x1.25,0.21112377643585206,0.21437000036239626,-0.003246223926544195,91,91,100.0,0,0,0,0
