mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src
local_sign+sample,9,0.6,0.6,0.1,4.468526363372803,4.565509736537933,1.5544993877410889,1.6016395092010498,chunk_3
local_sign+sample,9,0.6,0.6,0.5,3.4776394367218018,4.950900971889496,1.7817258834838867,2.275693893432617,chunk_3
local_sign+sample,9,0.6,0.6,1.0,2.14093279838562,2.897421181201935,1.9259799718856812,2.817460536956787,chunk_3
local_sign+sample,9,0.6,0.6,1.5,2.297722816467285,3.8748977184295654,2.187509059906006,3.8842740058898926,chunk_3
local_sign+sample,9,0.6,0.8,0.1,4.35543966293335,4.83791708946228,1.745371699333191,1.8006361722946167,chunk_3
local_sign+sample,9,0.6,0.8,0.5,2.804065704345703,4.453733146190643,2.070295810699463,2.6298043727874756,chunk_3
local_sign+sample,9,0.6,0.8,1.0,2.0911316871643066,4.207908034324646,2.199369430541992,3.5782558917999268,chunk_3
local_sign+sample,9,0.6,0.8,1.5,2.8366949558258057,3.8596513271331787,2.4122157096862793,4.077186107635498,chunk_3
local_sign+sample,9,0.6,1.0,0.1,5.208166599273682,6.131636142730713,1.6354076862335205,1.7130072116851807,chunk_3
local_sign+sample,9,0.6,1.0,0.5,4.579179763793945,5.490652918815613,2.1552340984344482,2.8871045112609863,chunk_3
local_sign+sample,9,0.6,1.0,1.0,3.062329053878784,4.0523693561553955,2.4221415519714355,3.8674330711364746,chunk_3
local_sign+sample,9,0.6,1.0,1.5,3.5462887287139893,5.405087947845459,2.8691744804382324,5.2892632484436035,chunk_3
local_sign+sample,9,0.8,0.6,0.1,4.839569091796875,5.213820934295654,2.047388792037964,2.123934268951416,chunk_3
local_sign+sample,9,0.8,0.6,0.5,4.382059574127197,6.271540522575378,2.20568585395813,2.873364210128784,chunk_3
local_sign+sample,9,0.8,0.6,1.0,3.687248706817627,5.482460677623749,2.4657680988311768,3.9927310943603516,chunk_3
local_sign+sample,9,0.8,0.6,1.5,2.64967679977417,3.9475794434547424,2.4219553470611572,4.2907915115356445,chunk_3
local_sign+sample,9,0.8,0.8,0.1,5.505833148956299,6.718747556209564,1.9852662086486816,2.067542314529419,chunk_3
local_sign+sample,9,0.8,0.8,0.5,4.008425712585449,6.190815448760986,2.332979679107666,3.251444101333618,chunk_3
local_sign+sample,9,0.8,0.8,1.0,3.6424617767333984,5.036020755767822,2.9128994941711426,4.84417724609375,chunk_3
local_sign+sample,9,0.8,0.8,1.5,2.2052950859069824,3.267993152141571,3.0803189277648926,5.663748264312744,chunk_3
local_sign+sample,9,0.8,1.0,0.1,6.332359313964844,7.1853527426719666,2.451683759689331,2.5529003143310547,chunk_3
local_sign+sample,9,0.8,1.0,0.5,4.615988731384277,7.308057487010956,2.803133010864258,4.047485828399658,chunk_3
local_sign+sample,9,0.8,1.0,1.0,3.7528109550476074,5.239696621894836,2.867079257965088,5.245439529418945,chunk_3
local_sign+sample,9,0.8,1.0,1.5,3.288236379623413,4.34960800409317,3.3163623809814453,6.640406131744385,chunk_3
local_sign+sample,9,0.95,0.6,0.1,4.919505596160889,5.328555047512054,2.211153745651245,2.2740001678466797,chunk_3
local_sign+sample,9,0.95,0.6,0.5,4.683437347412109,6.480932772159576,2.6302146911621094,3.566297769546509,chunk_3
local_sign+sample,9,0.95,0.6,1.0,1.2181909084320068,1.756310522556305,3.0756869316101074,5.16122579574585,chunk_3
local_sign+sample,9,0.95,0.6,1.5,1.880612850189209,2.637360632419586,2.5942232608795166,4.779362678527832,chunk_3
local_sign+sample,9,0.95,0.8,0.1,6.201261043548584,6.864540696144104,3.191586494445801,3.3638699054718018,chunk_3
local_sign+sample,9,0.95,0.8,0.5,4.982593536376953,6.5871230363845825,3.1230530738830566,4.456767559051514,chunk_3
local_sign+sample,9,0.95,0.8,1.0,2.172799825668335,3.319020092487335,3.2627995014190674,5.645682334899902,chunk_3
local_sign+sample,9,0.95,0.8,1.5,2.8610382080078125,4.658797323703766,2.9235920906066895,5.352366924285889,chunk_3
local_sign+sample,9,0.95,1.0,0.1,6.6573166847229,7.410007297992706,3.0015628337860107,3.1346895694732666,chunk_3
local_sign+sample,9,0.95,1.0,0.5,5.173277854919434,7.094887793064117,3.8108980655670166,5.515974521636963,chunk_3
local_sign+sample,9,0.95,1.0,1.0,3.7410740852355957,6.349799573421478,3.132171392440796,5.7835693359375,chunk_3
local_sign+sample,9,0.95,1.0,1.5,3.639444589614868,5.154683172702789,4.337058067321777,9.125486373901367,chunk_3
local_sign+sample,9,1.05,0.6,0.1,5.214921951293945,6.613520503044128,2.4964215755462646,2.765258312225342,chunk_3
local_sign+sample,9,1.05,0.6,0.5,4.256570339202881,5.177724063396454,3.5704338550567627,4.854521751403809,chunk_3
local_sign+sample,9,1.05,0.6,1.0,2.048513412475586,3.156139314174652,4.22682523727417,7.374574184417725,chunk_3
local_sign+sample,9,1.05,0.6,1.5,2.6427242755889893,4.522503435611725,3.2361676692962646,6.20037317276001,chunk_3
local_sign+sample,9,1.05,0.8,0.1,4.445964336395264,6.24236273765564,2.3486874103546143,2.633002281188965,chunk_3
local_sign+sample,9,1.05,0.8,0.5,3.6634411811828613,4.584563195705414,4.038752555847168,5.851147651672363,chunk_3
